,LBD,WHA,IWD,GBH,WHH,GBA,B365H,B365AH,B365<2.5,LBH,LBAHH,SOD,B365D,SBD,SBH,B365>2.5,GB>2.5,WHD,SOA,IWA,LBAHA,LBA,SBA,GB<2.5,GBAHH,B365AHA,GBD,LBAH,GBAH,IWH,GBAHA,B365A,B365AHH,SOH,HomeTeam,AwayTeam,idGame
0,4.0,8.0,4.0,1.44,1.28,7.0,1.4,-1.25,2.1,1.3330000000000002,1.9,3.75,3.8,3.75,1.4,1.7,1.75,4.5,7.5,7.0,1.95,8.0,7.5,1.95,1.9,1.925,4.0,-1.25,-1.25,1.35,1.9,8.0,1.975,1.4,Arsenal,Everton,Arsenal_Everton_2003
1,3.2,2.8,3.0,2.35,2.2,2.8,2.375,-0.25,1.85,2.2,1.75,3.25,3.25,3.2,2.25,1.95,1.85,3.2,2.75,2.5,2.1,2.8,2.8,1.85,2.05,1.8,3.25,0.0,-0.25,2.5,1.75,2.75,2.1,2.25,Birmingham,Tottenham,Birmingham_Tottenham_2003
2,3.5,5.0,3.2,1.68,1.57,5.0,1.615,-0.75,1.9,1.615,2.0,3.4,3.4,3.4,1.57,1.9,1.85,3.5,5.5,4.2,1.85,4.5,5.5,1.85,1.95,1.95,3.4,-0.75,-0.75,1.7,1.85,5.5,1.95,1.57,Blackburn,Wolves,Blackburn_Wolves_2003
3,3.2,2.62,3.1,2.4,2.3,2.7,2.3,-0.25,1.7,2.375,1.85,3.25,3.25,3.2,2.2,2.1,1.95,3.2,2.8,3.0,2.0,2.6,2.87,1.75,1.8,1.8,3.25,0.0,0.0,2.1,2.0,2.8,2.1,2.2,Fulham,Middlesbrough,Fulham_Middlesbrough_2003
4,3.2,2.62,3.1,2.5,2.3,2.6,2.5,0.0,1.8,2.5,1.85,3.2,3.2,3.2,2.4,2.0,1.95,3.2,2.63,2.8,2.0,2.5,2.6,1.75,1.85,2.05,3.25,0.0,0.0,2.2,1.95,2.6,1.85,2.38,Leicester,Southampton,Leicester_Southampton_2003
5,4.5,9.5,4.2,1.3,1.22,9.0,1.286,-1.75,2.2,1.25,1.95,5.0,4.5,5.0,1.25,1.66,1.65,5.0,8.5,8.0,1.9,10.0,9.0,2.1,1.95,1.85,4.8,-1.75,-1.75,1.3,1.85,10.0,2.05,1.25,Man United,Bolton,Man United_Bolton_2003
6,3.2,2.62,3.0,2.4,2.3,2.7,2.375,-0.25,1.9,2.375,2.1,3.3,3.25,3.2,2.25,1.9,1.9,3.2,2.8,2.6,1.75,2.6,2.8,1.8,2.05,1.8,3.25,-0.25,-0.25,2.4,1.75,2.75,2.1,2.38,Portsmouth,Aston Villa,Portsmouth_Aston Villa_2003
7,3.2,2.5,3.1,2.38,2.37,2.75,2.25,0.0,1.95,2.25,2.05,3.25,3.4,3.2,2.3,1.85,1.9,3.3,2.75,3.0,1.8,2.75,2.75,1.8,2.05,2.1,3.25,-0.25,-0.25,2.1,1.75,2.75,1.8,2.25,Charlton,Man City,Charlton_Man City_2003
8,3.2,2.1,3.0,2.85,3.0,2.3,2.75,0.25,2.0,2.8,1.8,3.4,3.25,3.2,2.62,1.8,1.8,3.2,2.25,2.3,2.05,2.2,2.37,1.9,1.8,2.075,3.25,0.25,0.25,2.7,2.0,2.375,1.825,2.9,Leeds,Newcastle,Leeds_Newcastle_2003
9,3.2,2.8,3.0,2.25,2.3,3.25,2.25,-0.25,1.9,2.25,2.05,3.3,3.25,3.2,2.2,1.9,1.9,3.0,3.0,2.7,1.8,2.75,2.87,1.8,2.05,1.8,3.25,-0.25,-0.25,2.3,1.85,2.875,2.1,2.25,Liverpool,Chelsea,Liverpool_Chelsea_2003
10,3.25,2.5,3.0,2.5,2.5,2.6,2.5,0.0,1.8,2.5,1.95,3.2,3.3,3.2,2.4,2.0,1.85,3.1,2.5,2.6,1.9,2.4,2.6,1.85,1.9,1.95,3.25,0.0,0.0,2.4,1.9,2.5,1.95,2.5,Bolton,Blackburn,Bolton_Blackburn_2003
11,4.5,9.5,4.5,1.26,1.22,10.0,1.25,-1.5,2.05,1.25,1.75,5.0,5.0,5.0,1.25,1.75,1.6,5.0,10.0,9.0,2.1,10.0,9.0,2.15,1.75,2.125,5.0,-1.5,-1.5,1.25,2.05,10.0,1.775,1.22,Chelsea,Leicester,Chelsea_Leicester_2003
12,3.4,4.0,3.1,1.85,1.72,4.0,1.8,-0.5,1.7,1.7269999999999999,1.8,3.4,3.4,3.25,1.72,2.1,1.9,3.4,4.5,3.8,2.05,4.0,4.33,1.79,1.8,2.05,3.3,-0.5,-0.5,1.8,2.0,4.0,1.85,1.67,Everton,Fulham,Everton_Fulham_2003
13,3.5,4.33,3.3,1.67,1.66,5.0,1.6669999999999998,-0.75,1.9,1.615,1.8,3.4,3.6,3.4,1.66,1.9,1.85,3.4,4.5,4.4,2.05,4.5,4.5,1.85,1.8,2.075,3.4,-0.75,-0.75,1.65,2.0,4.5,1.825,1.67,Man City,Portsmouth,Man City_Portsmouth_2003
14,3.25,2.2,3.0,3.1,2.87,2.1,3.0,0.25,2.1,2.75,2.1,3.4,3.2,3.25,3.0,1.7,1.65,3.1,2.2,2.1,1.75,2.2,2.1,2.05,2.3,1.875,3.4,0.25,0.0,3.1,1.6,2.2,2.025,3.0,Newcastle,Man United,Newcastle_Man United_2003
15,3.2,3.5,3.1,2.0,1.9,3.6,1.909,-0.5,1.7,2.0,2.0,3.25,3.25,3.2,1.9,2.1,2.0,3.2,3.5,3.5,1.85,3.2,3.6,1.71,1.95,1.9,3.2,-0.5,-0.5,1.9,1.85,3.75,2.0,1.91,Southampton,Birmingham,Southampton_Birmingham_2003
16,3.2,3.0,3.1,2.1,2.1,3.3,2.0,-0.25,1.85,2.1,2.0,3.25,3.25,3.2,2.2,1.95,1.85,3.2,3.0,3.2,1.85,3.0,2.9,1.85,2.0,1.875,3.2,-0.25,-0.25,2.0,1.8,3.4,2.025,2.1,Tottenham,Leeds,Tottenham_Leeds_2003
17,3.2,2.8,3.0,2.35,2.25,2.75,2.375,0.0,1.75,2.25,2.05,3.2,3.25,3.2,2.25,2.05,1.85,3.1,2.62,2.9,1.8,2.75,2.8,1.85,2.05,2.1,3.3,-0.25,-0.25,2.2,1.75,2.7,1.8,2.38,Wolves,Charlton,Wolves_Charlton_2003
18,3.25,2.1,3.0,3.1,3.1,2.15,3.0,0.25,1.75,2.75,,3.4,3.2,3.2,2.87,2.05,1.85,3.1,2.2,2.1,,2.2,2.2,1.85,1.95,1.95,3.3,,0.25,3.1,1.85,2.2,1.95,3.0,Aston Villa,Liverpool,Aston Villa_Liverpool_2003
19,3.2,1.72,3.1,4.4,4.2,1.75,4.0,0.5,1.85,4.0,2.05,3.4,3.4,3.25,4.33,1.95,1.75,3.25,1.8,1.8,1.8,1.8,1.72,1.95,1.65,1.85,3.4,0.5,1.0,3.8,2.2,1.8,2.05,4.33,Middlesbrough,Arsenal,Middlesbrough_Arsenal_2003
20,3.4,3.2,3.1,2.0,2.0,3.5,2.0,-0.5,1.9,2.0,2.0,3.5,3.25,3.25,1.9,1.9,1.79,3.2,3.75,3.6,1.85,3.0,3.5,1.9,1.95,1.8,3.2,-0.5,-0.5,1.85,1.85,3.4,2.1,1.91,Blackburn,Man City,Blackburn_Man City_2003
21,3.2,2.6,3.0,2.4,2.4,2.7,2.375,,1.85,2.25,1.75,3.25,3.2,3.2,2.3,1.95,1.85,3.1,2.75,2.9,2.1,2.75,2.7,1.9,1.75,,3.25,0.0,0.0,2.2,2.05,2.75,,2.25,Charlton,Everton,Charlton_Everton_2003
22,3.4,3.2,3.1,2.05,2.0,3.35,2.0,,1.8,2.0,1.85,3.25,3.25,3.25,2.0,2.0,1.85,3.2,3.25,3.5,2.0,3.0,3.25,1.85,1.8,,3.25,-0.25,-0.25,1.9,2.0,3.4,,2.0,Leeds,Southampton,Leeds_Southampton_2003
23,3.2,2.62,3.0,2.4,2.37,2.7,2.5,,1.75,2.375,1.8,3.25,3.2,3.2,2.37,2.05,1.9,3.1,2.75,2.7,2.05,2.6,2.62,1.79,1.8,,3.25,0.0,0.0,2.3,2.0,2.6,,2.25,Leicester,Middlesbrough,Leicester_Middlesbrough_2003
24,3.2,3.2,3.0,2.1,2.0,3.25,2.1,,1.85,2.1,1.8,3.25,3.25,3.25,2.0,1.95,1.9,3.2,3.25,2.9,2.05,3.0,3.25,1.79,1.8,,3.25,-0.25,-0.25,2.2,2.0,3.2,,2.0,Portsmouth,Bolton,Portsmouth_Bolton_2003
25,4.5,8.0,4.2,1.26,1.28,10.0,1.286,-1.5,2.0,1.25,2.05,5.0,5.0,5.0,1.25,1.8,1.6,4.5,8.5,8.0,1.8,10.0,8.5,2.15,1.8,2.025,5.0,-1.75,-1.5,1.3,2.0,8.5,1.875,1.25,Arsenal,Aston Villa,Arsenal_Aston Villa_2003
26,3.5,6.0,3.5,1.53,1.5,6.5,1.5,-1.0,1.85,1.5330000000000001,2.05,3.4,3.5,3.4,1.53,1.95,1.79,3.4,5.5,4.8,1.8,5.5,6.0,1.9,2.0,1.8,3.5,-1.0,-1.0,1.55,1.8,7.0,2.1,1.57,Liverpool,Tottenham,Liverpool_Tottenham_2003
27,5.5,15.0,6.0,1.13,1.11,16.0,1.143,-2.25,2.62,1.167,1.85,7.5,6.5,6.0,1.12,1.44,1.4,6.5,17.0,12.0,2.0,12.0,17.0,2.65,1.8,2.025,7.0,-2.25,-2.25,1.15,2.0,15.0,1.875,1.12,Man United,Wolves,Man United_Wolves_2003
28,3.25,4.33,3.2,1.7,1.72,4.7,1.6669999999999998,-0.75,1.75,1.6669999999999998,,3.25,3.4,3.25,1.72,2.05,1.85,3.2,4.33,4.0,,4.5,4.33,1.85,2.2,1.825,3.4,,-1.0,1.75,1.65,5.0,2.075,1.73,Aston Villa,Leicester,Aston Villa_Leicester_2003
29,3.2,2.75,3.1,2.3,2.2,2.8,2.3,-0.25,1.85,2.25,2.0,3.25,3.25,3.25,2.1,1.95,1.9,3.25,3.0,3.0,1.85,2.75,3.0,1.79,1.95,1.85,3.3,-0.25,-0.25,2.1,1.85,2.8,2.05,2.1,Bolton,Charlton,Bolton_Charlton_2003
30,3.75,6.0,3.5,1.53,1.5,6.25,1.5,-1.25,2.0,1.4,1.8,3.75,3.6,3.75,1.44,1.8,1.6,3.4,6.5,4.8,2.05,7.0,6.5,2.15,2.2,1.8,3.55,-1.0,-1.25,1.55,1.65,6.5,2.1,1.44,Chelsea,Blackburn,Chelsea_Blackburn_2003
31,3.2,2.5,3.0,2.65,2.5,2.55,2.6,0.0,1.8,2.5,2.05,3.25,3.2,3.2,2.5,2.0,1.9,3.1,2.6,2.5,1.8,2.5,2.5,1.79,2.0,1.825,3.1,0.0,0.0,2.5,1.8,2.5,2.075,2.6,Everton,Liverpool,Everton_Liverpool_2003
32,3.2,3.2,3.0,2.2,2.0,3.0,2.0,-0.25,1.8,2.0,1.8,3.25,3.25,3.25,2.1,2.0,1.85,3.2,3.0,3.1,2.05,3.2,3.0,1.85,1.85,2.05,3.25,-0.25,-0.25,2.1,1.95,3.4,1.85,2.1,Middlesbrough,Leeds,Middlesbrough_Leeds_2003
33,3.4,6.0,3.5,1.55,1.5,6.1,1.5330000000000001,-1.0,2.0,1.5,2.1,3.5,3.4,3.5,1.5,1.8,1.75,3.4,6.0,4.8,1.75,6.0,6.0,1.95,2.0,1.825,3.55,-1.0,-1.0,1.55,1.8,6.5,2.075,1.5,Newcastle,Birmingham,Newcastle_Birmingham_2003
34,3.2,4.33,3.1,1.75,1.72,4.4,1.6669999999999998,-0.75,1.8,1.7269999999999999,2.0,3.4,3.4,3.25,1.72,2.0,1.85,3.2,4.5,3.8,1.85,4.333,4.33,1.85,1.7,1.9,3.4,-0.75,-0.5,1.8,2.1,5.0,2.0,1.67,Tottenham,Fulham,Tottenham_Fulham_2003
35,3.4,2.3,3.2,2.7,2.62,2.4,2.75,0.0,1.85,2.625,2.05,3.2,3.2,3.2,2.5,1.95,1.85,3.2,2.5,2.4,1.8,2.25,2.5,1.85,1.75,1.9,3.3,0.0,0.25,2.4,2.05,2.375,2.0,2.5,Wolves,Portsmouth,Wolves_Portsmouth_2003
36,3.6,1.66,3.2,4.3,4.5,1.75,4.0,0.5,2.0,4.333,2.1,3.4,3.4,3.25,4.33,1.8,1.6,3.3,1.8,1.7,1.75,1.615,1.72,2.15,1.5,1.825,3.45,0.5,1.0,4.2,2.4,1.8,2.075,4.33,Man City,Arsenal,Man City_Arsenal_2003
37,3.5,1.57,3.3,4.9,5.0,1.65,5.0,0.75,2.05,5.0,2.0,3.6,3.4,3.4,5.0,1.75,1.65,3.5,1.67,1.65,1.85,1.571,1.61,2.05,1.77,1.825,3.5,0.75,1.0,4.4,2.05,1.6669999999999998,2.075,5.0,Southampton,Man United,Southampton_Man United_2003
38,5.0,9.5,4.2,1.27,1.22,10.0,1.28,-1.5,2.25,1.222,1.9,5.0,4.5,5.0,1.22,1.61,1.6,5.0,10.0,8.0,1.95,10.0,10.0,2.25,1.85,2.05,5.0,-1.5,-1.5,1.3,1.95,10.0,1.85,1.22,Arsenal,Portsmouth,Arsenal_Portsmouth_2003
39,3.2,2.4,3.0,2.75,2.6,2.4,2.8,-1.5,1.85,2.5,2.05,3.2,3.25,3.2,2.62,1.95,1.85,3.1,2.38,2.3,1.8,2.5,2.37,1.85,2.05,1.875,3.2,0.0,0.0,2.7,1.77,2.3,2.025,2.62,Blackburn,Liverpool,Blackburn_Liverpool_2003
40,3.0,2.8,3.0,2.3,2.25,2.9,2.3,-0.25,1.8,2.375,,3.25,3.2,3.2,2.25,2.0,1.95,3.1,2.8,2.9,,2.75,2.8,1.75,1.95,1.8,3.2,,-0.25,2.2,1.85,2.87,2.1,2.2,Bolton,Middlesbrough,Bolton_Middlesbrough_2003
41,3.5,1.57,3.3,5.5,5.0,1.57,5.0,0.5,2.0,4.5,1.85,3.5,3.6,3.4,5.5,1.8,1.71,3.5,1.53,1.65,2.0,1.615,1.57,2.0,1.8,1.8,3.65,1.0,1.0,4.4,2.0,1.61,2.1,5.5,Charlton,Man United,Charlton_Man United_2003
42,3.5,6.0,3.5,1.5,1.53,6.65,1.53,-1.25,2.05,1.5330000000000001,2.0,3.5,3.6,3.5,1.5,1.75,1.8,3.25,7.0,4.8,1.85,5.5,6.0,1.9,1.95,1.825,3.65,-1.25,-1.25,1.55,1.85,6.0,2.075,1.44,Chelsea,Tottenham,Chelsea_Tottenham_2003
43,3.25,2.62,3.0,2.4,2.37,2.75,2.37,-1.25,1.9,2.4,1.8,3.2,3.2,3.2,2.3,1.9,1.8,3.1,2.62,2.7,2.05,2.5,2.7,1.9,1.8,2.1,3.2,0.0,0.0,2.3,2.0,2.75,1.8,2.38,Everton,Newcastle,Everton_Newcastle_2003
44,3.25,5.0,3.2,1.6,1.57,5.4,1.61,-0.75,1.85,1.615,1.8,3.4,3.4,3.4,1.57,1.95,1.85,3.5,5.5,4.2,2.05,5.0,5.5,1.85,1.8,2.05,3.55,-0.75,-0.75,1.7,2.05,5.5,1.85,1.57,Southampton,Wolves,Southampton_Wolves_2003
45,3.0,3.75,3.1,1.95,1.83,3.6,1.83,-0.5,1.75,1.8330000000000002,2.05,3.4,3.25,3.3,1.83,2.05,1.9,3.2,4.33,3.2,1.8,4.0,3.75,1.79,1.9,1.875,3.25,-0.5,-0.5,2.0,1.9,4.0,2.025,1.8,Birmingham,Fulham,Birmingham_Fulham_2003
46,3.0,3.6,3.1,1.95,1.83,3.65,1.83,-0.5,1.9,1.8330000000000002,1.95,3.4,3.25,3.3,1.83,1.9,1.79,3.3,3.5,3.2,1.9,4.0,3.75,1.9,1.9,1.925,3.25,-0.5,-0.5,2.0,1.9,4.0,1.975,2.0,Man City,Aston Villa,Man City_Aston Villa_2003
47,3.2,2.5,3.2,2.65,2.5,2.5,2.6,-0.5,1.8,2.5,2.05,3.4,3.2,3.2,2.5,2.0,1.85,3.1,2.38,2.4,1.8,2.5,2.5,1.85,1.77,1.875,3.2,0.0,0.25,2.4,2.05,2.5,2.025,2.75,Leicester,Leeds,Leicester_Leeds_2003
48,3.2,3.75,3.1,1.9,1.83,3.75,1.9,-0.5,1.8,1.909,1.9,3.25,3.25,3.25,1.85,2.0,1.85,3.2,3.75,3.8,1.95,3.5,3.75,1.85,1.65,1.9,3.3,-0.5,-0.25,1.8,2.15,3.75,2.0,1.83,Aston Villa,Charlton,Aston Villa_Charlton_2003
49,3.2,2.5,3.0,2.4,2.5,2.7,2.3,0.0,1.9,2.25,1.85,3.2,3.25,3.2,2.37,1.9,1.85,3.1,2.62,2.7,2.0,2.75,2.62,1.85,1.8,2.05,3.25,0.0,0.0,2.3,2.0,2.8,1.85,2.38,Fulham,Man City,Fulham_Man City_2003
50,3.2,2.75,3.0,2.15,2.2,3.15,2.1,-0.25,1.75,2.1,1.85,3.25,3.25,3.25,2.1,2.05,1.85,3.25,3.0,3.1,2.0,3.0,3.0,1.85,1.9,2.05,3.25,-0.25,-0.25,2.1,1.9,3.2,1.85,2.1,Leeds,Birmingham,Leeds_Birmingham_2003
51,3.75,8.0,4.0,1.32,1.33,10.0,1.3,-1.25,2.0,1.3330000000000002,1.8,4.0,4.5,4.2,1.33,1.8,1.65,4.0,8.5,7.0,2.05,9.0,8.0,2.05,1.75,2.075,4.3,-1.25,-1.25,1.35,2.08,9.5,1.825,1.33,Liverpool,Leicester,Liverpool_Leicester_2003
52,3.4,6.0,3.5,1.53,1.5,6.5,1.5,-1.0,2.0,1.5,1.85,3.5,3.6,3.4,1.53,1.8,1.71,3.4,5.5,4.8,2.0,6.0,6.0,2.0,1.92,2.0,3.5,-1.0,-1.0,1.55,1.9,6.5,1.9,1.53,Newcastle,Bolton,Newcastle_Bolton_2003
53,3.2,2.62,3.0,2.3,2.3,2.87,2.25,-0.25,1.85,2.1,2.0,3.25,3.25,3.2,2.25,1.95,1.71,3.2,2.75,2.7,1.85,3.0,2.8,2.0,2.0,1.85,3.25,-0.25,-0.25,2.3,1.8,2.87,2.05,2.25,Portsmouth,Blackburn,Portsmouth_Blackburn_2003
54,3.2,3.2,3.1,2.1,2.0,3.25,2.0,-0.25,1.8,2.2,1.85,3.25,3.25,3.25,2.0,2.0,1.85,3.2,3.25,3.5,2.0,2.8,3.25,1.85,1.85,2.075,3.25,-0.25,-0.25,1.9,1.95,3.4,1.825,2.0,Tottenham,Southampton,Tottenham_Southampton_2003
55,3.4,1.44,3.7,5.95,6.5,1.5,6.5,1.25,2.1,6.0,2.0,4.0,3.6,3.6,6.0,1.7,1.65,3.6,1.44,1.5,1.85,1.5,1.5,2.05,1.95,1.95,3.65,1.25,1.25,5.0,1.85,1.5,1.95,7.5,Wolves,Chelsea,Wolves_Chelsea_2003
56,3.2,3.1,3.0,2.15,2.2,3.2,2.0,-0.25,2.0,2.1,1.85,3.4,3.25,3.1,2.2,1.8,1.75,2.87,3.5,3.1,2.0,3.0,3.0,1.95,1.9,2.025,3.25,-0.25,-0.25,2.1,1.92,3.4,1.875,2.0,Man United,Arsenal,Man United_Arsenal_2003
57,3.2,2.62,3.0,2.33,2.3,2.82,2.3,-0.25,1.85,2.2,2.05,3.25,3.25,3.2,2.3,1.95,1.85,3.2,2.8,2.7,1.8,2.8,2.7,1.85,2.08,1.875,3.25,-0.25,-0.25,2.3,1.78,2.8,2.025,2.4,Middlesbrough,Everton,Middlesbrough_Everton_2003
58,3.75,6.0,3.7,1.55,1.5,5.7,1.53,-1.0,2.05,1.444,2.05,3.75,3.5,3.5,1.5,1.75,1.79,3.4,7.0,5.0,1.8,6.0,6.0,1.9,1.9,1.85,3.7,-1.0,-1.0,1.5,1.9,5.5,2.05,1.5,Arsenal,Newcastle,Arsenal_Newcastle_2003
59,3.2,3.2,3.1,2.0,2.0,3.5,1.9,-0.5,1.8,1.8330000000000002,2.05,3.25,3.25,3.25,1.9,2.0,1.9,3.2,3.5,3.5,1.8,3.75,3.5,1.79,2.0,1.9,3.25,-0.5,-0.5,1.9,1.8,3.75,2.0,1.91,Birmingham,Portsmouth,Birmingham_Portsmouth_2003
60,3.4,4.33,3.3,1.67,1.72,5.0,1.61,-0.75,1.9,1.6669999999999998,1.8,3.4,3.6,3.4,1.61,1.9,1.85,3.2,5.0,4.4,2.05,4.333,5.0,1.85,1.8,2.05,3.45,-0.75,-0.75,1.65,2.0,5.0,1.85,1.62,Bolton,Wolves,Bolton_Wolves_2003
61,4.0,8.5,4.0,1.35,1.3,8.5,1.33,-1.5,2.1,1.3330000000000002,2.0,4.33,4.33,4.0,1.36,1.7,1.71,4.2,8.5,7.0,1.85,8.0,7.5,2.0,2.0,1.85,4.3,-1.5,-1.5,1.35,1.8,8.5,2.05,1.3,Chelsea,Aston Villa,Chelsea_Aston Villa_2003
62,3.6,1.44,3.5,6.5,7.0,1.5,6.5,1.0,2.0,6.5,2.0,3.75,3.6,3.6,6.0,1.8,1.71,3.5,1.44,1.55,1.85,1.444,1.5,2.0,1.95,1.925,3.7,1.0,1.0,4.8,1.85,1.5,1.975,6.5,Leicester,Man United,Leicester_Man United_2003
63,3.2,4.33,3.1,1.8,1.66,4.4,1.8,-0.5,1.75,1.7269999999999999,1.8,3.4,3.2,3.25,1.8,2.05,1.9,3.4,4.5,3.8,2.05,4.333,4.0,1.79,1.8,2.05,3.25,-0.5,-0.5,1.8,2.0,4.33,1.85,1.67,Southampton,Middlesbrough,Southampton_Middlesbrough_2003
64,3.4,4.5,3.1,1.75,1.66,4.5,1.8,-0.75,1.95,1.6669999999999998,2.0,3.25,3.4,3.25,1.72,1.85,1.79,3.3,4.33,3.8,1.85,4.333,4.33,1.9,2.0,1.85,3.35,-0.75,-0.75,1.8,1.8,4.0,2.05,1.73,Blackburn,Fulham,Blackburn_Fulham_2003
65,3.25,1.72,3.1,4.15,4.2,1.85,4.33,0.5,1.9,3.75,2.0,3.4,3.2,3.25,4.0,1.9,1.9,3.25,1.8,1.85,1.85,1.8,1.8,1.79,1.95,1.9,3.25,0.5,0.5,3.6,1.85,1.8,2.0,4.33,Charlton,Liverpool,Charlton_Liverpool_2003
66,3.4,3.75,3.1,1.85,1.8,4.0,1.83,-0.5,1.95,1.7269999999999999,2.0,3.25,3.25,3.3,1.72,1.85,1.9,3.3,4.33,3.8,1.85,4.0,4.33,1.79,1.85,2.1,3.33,-0.75,-0.5,1.8,1.95,4.0,1.8,1.73,Everton,Leeds,Everton_Leeds_2003
67,3.4,4.0,3.1,1.75,1.72,4.4,1.72,-0.75,2.05,1.6669999999999998,2.05,3.5,3.4,3.25,1.75,1.75,1.75,3.4,4.75,3.6,1.8,4.333,4.2,1.95,1.95,1.85,3.4,-0.75,-0.75,1.85,1.85,4.5,2.05,1.73,Man City,Tottenham,Man City_Tottenham_2003
68,3.5,4.5,3.3,1.71,1.66,4.5,1.61,-0.75,2.0,1.615,1.85,3.4,3.6,3.4,1.66,1.8,1.85,3.3,5.0,4.4,2.0,4.5,4.5,1.85,1.9,2.0,3.5,-0.75,-0.75,1.65,1.9,5.0,1.9,1.62,Fulham,Leicester,Fulham_Leicester_2003
69,3.25,2.25,3.1,2.5,2.6,2.6,2.5,0.0,1.9,2.4,2.0,3.2,3.3,3.2,2.37,1.9,1.79,3.4,2.38,2.6,1.85,2.5,2.62,1.9,1.9,1.925,3.25,0.0,0.0,2.3,1.9,2.5,1.975,2.63,Leeds,Blackburn,Leeds_Blackburn_2003
70,3.2,2.4,3.0,2.45,2.6,2.65,2.5,0.0,1.9,2.6,1.9,3.4,3.3,3.2,2.4,1.9,1.85,3.1,2.6,2.6,1.95,2.375,2.6,1.85,1.87,2.0,3.25,0.0,0.0,2.4,1.95,2.5,1.9,2.5,Liverpool,Arsenal,Liverpool_Arsenal_2003
71,3.75,8.0,4.0,1.31,1.28,9.0,1.3,-1.5,2.05,1.3330000000000002,1.95,4.5,4.5,4.5,1.28,1.75,1.65,4.5,8.5,7.0,1.9,9.0,9.0,2.1,1.9,1.925,4.5,-1.5,-1.5,1.35,1.9,9.5,1.975,1.29,Man United,Birmingham,Man United_Birmingham_2003
72,3.25,4.0,3.2,1.87,1.72,3.65,1.72,-0.5,1.85,1.6669999999999998,1.8,3.4,3.5,3.25,1.72,1.95,1.79,3.4,3.75,4.2,2.05,4.5,4.33,1.9,1.87,2.075,3.45,-0.5,-0.5,1.7,1.95,4.33,1.825,1.8,Newcastle,Southampton,Newcastle_Southampton_2003
73,3.2,3.2,3.1,2.05,2.0,3.4,2.1,-0.25,1.85,2.2,1.9,3.25,3.25,3.25,2.0,1.95,1.85,3.2,3.25,3.5,1.95,2.8,3.25,1.85,1.85,2.025,3.25,-0.25,-0.25,1.9,1.95,3.2,1.875,2.0,Portsmouth,Charlton,Portsmouth_Charlton_2003
