,HC,HR,FTAG,HTHG,AST,AR,Div,HTR,Referee,AwayTeam,HST,HY,HomeTeam,HF,AS,HS,HTAG,FTHG,AC,AF,AY,Date,FTR,idGame
0,12,0,0,2,2,0,E0,H,U Rennie,Southampton,5,0,Aston Villa,14,6,14,0,2,6,9,0,14/08/2004,H,Aston Villa_Southampton_2004
1,4,0,1,0,2,0,E0,A,C Foy,West Brom,4,1,Blackburn,15,4,12,1,1,5,17,0,14/08/2004,D,Blackburn_West Brom_2004
2,9,0,1,2,5,0,E0,H,P Dowd,Charlton,11,1,Bolton,10,9,21,0,4,5,12,1,14/08/2004,H,Bolton_Charlton_2004
3,9,0,1,1,2,0,E0,H,M Messias,Fulham,5,0,Man City,14,4,12,0,1,4,12,2,14/08/2004,D,Man City_Fulham_2004
4,6,0,2,0,4,0,E0,A,S Bennett,Newcastle,8,3,Middlesbrough,16,11,15,1,2,7,13,1,14/08/2004,D,Middlesbrough_Newcastle_2004
5,6,0,1,1,8,0,E0,H,P Walton,Crystal Palace,10,0,Norwich,14,14,14,0,1,11,16,1,14/08/2004,D,Norwich_Crystal Palace_2004
6,8,0,1,1,11,0,E0,D,H Webb,Birmingham,8,2,Portsmouth,13,16,14,1,1,4,16,4,14/08/2004,D,Portsmouth_Birmingham_2004
7,3,0,1,0,8,0,E0,A,D Gallagher,Liverpool,7,3,Tottenham,17,16,14,1,1,8,11,1,14/08/2004,D,Tottenham_Liverpool_2004
8,2,0,0,1,3,0,E0,H,G Poll,Man United,5,0,Chelsea,17,11,8,0,1,3,8,0,15/08/2004,H,Chelsea_Man United_2004
9,0,0,4,0,14,0,E0,A,M Riley,Arsenal,5,2,Everton,14,18,9,2,1,7,19,1,15/08/2004,A,Everton_Arsenal_2004
10,8,0,1,0,3,0,E0,D,B Knight,Chelsea,3,0,Birmingham,10,7,9,0,0,2,16,0,21/08/2004,A,Birmingham_Chelsea_2004
11,5,0,1,1,6,0,E0,H,A Wiley,Portsmouth,14,0,Charlton,9,10,18,0,2,6,11,1,21/08/2004,H,Charlton_Portsmouth_2004
12,6,0,3,1,7,1,E0,D,M Clattenburg,Everton,9,1,Crystal Palace,6,14,15,1,1,6,18,1,21/08/2004,A,Crystal Palace_Everton_2004
13,8,0,0,1,4,0,E0,H,R Styles,Bolton,12,0,Fulham,11,10,23,0,2,4,13,0,21/08/2004,H,Fulham_Bolton_2004
14,8,0,1,0,4,1,E0,A,G Poll,Man City,10,1,Liverpool,9,7,15,1,2,3,17,3,21/08/2004,H,Liverpool_Man City_2004
15,11,0,1,1,2,0,E0,H,N Barry,Norwich,7,0,Man United,8,7,17,0,2,5,23,1,21/08/2004,H,Man United_Norwich_2004
16,13,0,1,0,8,0,E0,D,M Dean,Tottenham,6,1,Newcastle,10,15,13,0,0,3,12,2,21/08/2004,A,Newcastle_Tottenham_2004
17,3,0,2,1,6,0,E0,H,A D'Urso,Blackburn,7,0,Southampton,12,10,13,0,3,6,18,3,21/08/2004,H,Southampton_Blackburn_2004
18,7,0,3,1,5,0,E0,D,S Dunn,Middlesbrough,11,1,Arsenal,8,9,16,1,5,5,14,1,22/08/2004,H,Arsenal_Middlesbrough_2004
19,12,0,1,1,4,0,E0,D,M Halsey,Aston Villa,5,2,West Brom,12,9,14,1,1,4,20,2,22/08/2004,D,West Brom_Aston Villa_2004
20,2,0,0,1,1,0,E0,H,P Dowd,Man City,2,1,Birmingham,20,4,6,0,1,5,13,1,24/08/2004,H,Birmingham_Man City_2004
21,1,0,2,0,10,0,E0,A,C Foy,Chelsea,4,1,Crystal Palace,9,16,7,1,0,6,12,1,24/08/2004,A,Crystal Palace_Chelsea_2004
22,6,0,0,0,0,0,E0,D,N Barry,Blackburn,9,2,Arsenal,11,3,15,0,3,5,18,4,25/08/2004,H,Arsenal_Blackburn_2004
23,4,0,0,2,4,0,E0,H,H Webb,Aston Villa,5,0,Charlton,6,9,7,0,3,12,7,1,25/08/2004,H,Charlton_Aston Villa_2004
24,1,0,2,0,5,0,E0,D,D Gallagher,Middlesbrough,2,0,Fulham,10,10,6,0,0,6,8,1,25/08/2004,A,Fulham_Middlesbrough_2004
25,12,0,2,1,5,0,E0,H,M Halsey,Norwich,15,0,Newcastle,17,13,23,0,2,6,10,1,25/08/2004,D,Newcastle_Norwich_2004
26,9,0,2,0,5,0,E0,A,S Dunn,Bolton,6,1,Southampton,9,9,10,2,1,6,8,1,25/08/2004,A,Southampton_Bolton_2004
27,4,0,1,1,6,0,E0,D,B Knight,Tottenham,2,0,West Brom,13,12,4,1,1,5,10,0,25/08/2004,D,West Brom_Tottenham_2004
28,9,0,2,1,10,0,E0,A,M Riley,Newcastle,13,3,Aston Villa,23,12,16,2,4,4,11,1,28/08/2004,H,Aston Villa_Newcastle_2004
29,4,1,1,1,15,0,E0,H,A Wiley,Man United,4,3,Blackburn,25,24,8,0,1,14,17,1,28/08/2004,D,Blackburn_Man United_2004
30,9,0,1,2,2,0,E0,H,S Bennett,Southampton,7,0,Chelsea,11,6,16,1,2,0,12,4,28/08/2004,H,Chelsea_Southampton_2004
31,7,0,1,1,8,0,E0,D,P Walton,West Brom,10,0,Everton,11,12,16,1,2,6,16,1,28/08/2004,H,Everton_West Brom_2004
32,6,0,0,2,3,0,E0,H,M Halsey,Charlton,10,0,Man City,11,6,16,0,4,4,8,1,28/08/2004,H,Man City_Charlton_2004
33,4,0,1,0,2,0,E0,D,M Dean,Crystal Palace,15,1,Middlesbrough,16,6,24,0,2,2,16,2,28/08/2004,H,Middlesbrough_Crystal Palace_2004
34,4,0,4,0,15,0,E0,A,G Poll,Arsenal,5,1,Norwich,15,18,5,3,1,10,5,1,28/08/2004,A,Norwich_Arsenal_2004
35,2,0,0,1,2,0,E0,H,M Clattenburg,Birmingham,3,4,Tottenham,15,10,6,0,1,8,5,1,28/08/2004,H,Tottenham_Birmingham_2004
36,5,0,0,1,2,0,E0,H,U Rennie,Liverpool,8,2,Bolton,15,7,10,0,1,2,14,0,29/08/2004,H,Bolton_Liverpool_2004
37,8,0,0,0,2,0,E0,D,D Gallagher,Everton,6,0,Man United,8,7,14,0,0,2,13,2,30/08/2004,D,Man United_Everton_2004
38,6,0,3,3,10,0,E0,H,B Knight,Fulham,13,0,Portsmouth,12,18,21,2,4,8,12,2,30/08/2004,H,Portsmouth_Fulham_2004
39,2,0,0,0,10,0,E0,D,R Styles,Chelsea,5,0,Aston Villa,9,18,11,0,0,9,12,1,11/09/2004,D,Aston Villa_Chelsea_2004
40,4,0,2,0,7,0,E0,A,M Messias,Man United,7,2,Bolton,22,12,12,1,2,7,15,1,11/09/2004,D,Bolton_Man United_2004
41,9,0,3,0,7,0,E0,D,M Halsey,Arsenal,7,2,Fulham,16,12,9,0,0,4,10,2,11/09/2004,A,Fulham_Arsenal_2004
42,8,0,0,2,5,0,E0,H,S Dunn,West Brom,9,0,Liverpool,9,9,16,0,3,6,11,0,11/09/2004,H,Liverpool_West Brom_2004
43,9,0,1,0,5,1,E0,D,S Bennett,Everton,4,1,Man City,14,6,13,0,0,6,9,3,11/09/2004,A,Man City_Everton_2004
44,6,0,1,1,3,0,E0,D,G Poll,Birmingham,6,2,Middlesbrough,16,5,14,1,2,3,19,3,11/09/2004,H,Middlesbrough_Birmingham_2004
45,8,0,0,2,1,0,E0,H,D Gallagher,Blackburn,4,2,Newcastle,10,5,7,0,3,5,19,1,11/09/2004,H,Newcastle_Blackburn_2004
46,8,0,1,1,3,0,E0,D,P Dowd,Crystal Palace,7,0,Portsmouth,14,6,16,1,3,7,21,2,11/09/2004,H,Portsmouth_Crystal Palace_2004
47,13,0,0,0,2,0,E0,D,H Webb,Norwich,7,2,Tottenham,17,7,15,0,0,5,9,1,12/09/2004,D,Tottenham_Norwich_2004
48,9,0,0,0,7,0,E0,D,N Barry,Southampton,4,0,Charlton,12,12,8,0,0,10,13,1,13/09/2004,D,Charlton_Southampton_2004
49,3,0,2,1,5,0,E0,H,P Dowd,Bolton,6,1,Arsenal,13,8,11,0,2,8,17,3,18/09/2004,D,Arsenal_Bolton_2004
50,12,1,1,0,1,0,E0,D,U Rennie,Charlton,5,3,Birmingham,12,2,7,0,1,3,16,2,18/09/2004,D,Birmingham_Charlton_2004
51,13,0,0,0,2,0,E0,D,M Clattenburg,Portsmouth,3,0,Blackburn,13,6,13,0,1,4,15,3,18/09/2004,H,Blackburn_Portsmouth_2004
52,2,0,2,0,10,0,E0,D,M Atkinson,Man City,1,2,Crystal Palace,14,14,3,0,1,7,15,2,18/09/2004,A,Crystal Palace_Man City_2004
53,1,0,0,0,9,0,E0,D,B Knight,Aston Villa,3,1,Norwich,10,18,14,0,0,6,13,1,18/09/2004,D,Norwich_Aston Villa_2004
54,11,1,1,0,3,2,E0,D,M Dean,Fulham,5,2,West Brom,11,9,8,0,1,9,6,5,18/09/2004,D,West Brom_Fulham_2004
55,9,0,0,0,3,0,E0,D,M Riley,Tottenham,8,1,Chelsea,16,6,20,0,0,6,13,2,19/09/2004,D,Chelsea_Tottenham_2004
56,6,0,0,0,11,0,E0,D,H Webb,Middlesbrough,9,1,Everton,13,16,11,0,1,3,12,4,19/09/2004,H,Everton_Middlesbrough_2004
57,7,0,2,0,3,0,E0,A,C Foy,Newcastle,6,0,Southampton,15,9,11,1,1,6,11,3,19/09/2004,A,Southampton_Newcastle_2004
58,7,0,1,1,3,0,E0,H,G Poll,Liverpool,9,1,Man United,22,6,14,0,2,2,15,2,20/09/2004,H,Man United_Liverpool_2004
59,5,0,1,1,8,0,E0,D,M Clattenburg,Crystal Palace,5,2,Aston Villa,10,13,10,1,1,8,15,1,25/09/2004,D,Aston Villa_Crystal Palace_2004
60,7,0,1,1,2,0,E0,H,R Styles,Birmingham,12,2,Bolton,7,6,16,0,1,2,18,1,25/09/2004,D,Bolton_Birmingham_2004
61,5,0,0,1,5,0,E0,H,G Poll,Southampton,6,0,Fulham,11,15,11,0,1,4,19,1,25/09/2004,H,Fulham_Southampton_2004
62,4,0,0,2,1,0,E0,H,A Wiley,Norwich,12,1,Liverpool,10,2,20,0,3,2,12,0,25/09/2004,H,Liverpool_Norwich_2004
63,8,0,1,0,9,0,E0,A,N Barry,Arsenal,7,1,Man City,16,12,11,1,0,1,8,0,25/09/2004,A,Man City_Arsenal_2004
64,3,0,1,0,12,0,E0,D,M Halsey,Chelsea,4,0,Middlesbrough,10,17,8,0,0,7,15,1,25/09/2004,A,Middlesbrough_Chelsea_2004
65,8,0,1,0,3,1,E0,D,M Riley,West Brom,10,3,Newcastle,15,7,31,0,3,3,15,2,25/09/2004,H,Newcastle_West Brom_2004
66,3,0,1,0,4,0,E0,A,P Walton,Man United,5,1,Tottenham,9,6,11,1,0,3,10,0,25/09/2004,A,Tottenham_Man United_2004
67,3,0,1,0,2,0,E0,D,D Gallagher,Everton,6,1,Portsmouth,12,9,11,0,0,6,16,1,26/09/2004,A,Portsmouth_Everton_2004
68,6,0,0,0,7,0,E0,D,S Dunn,Blackburn,3,1,Charlton,18,12,6,0,1,10,14,1,27/09/2004,H,Charlton_Blackburn_2004
69,6,0,0,1,0,0,E0,H,M Dean,Charlton,9,3,Arsenal,13,4,15,0,4,1,15,1,02/10/2004,H,Arsenal_Charlton_2004
70,5,0,2,1,9,0,E0,D,P Walton,Aston Villa,7,2,Blackburn,14,15,13,1,2,8,17,2,02/10/2004,D,Blackburn_Aston Villa_2004
71,11,0,1,0,2,0,E0,D,G Poll,Tottenham,4,1,Everton,9,8,10,0,0,2,13,2,02/10/2004,A,Everton_Tottenham_2004
72,8,0,2,0,5,0,E0,A,M Messias,Portsmouth,9,1,Norwich,13,13,17,1,2,2,7,4,02/10/2004,D,Norwich_Portsmouth_2004
73,6,0,0,0,11,0,E0,D,U Rennie,Man City,11,0,Southampton,13,21,16,0,0,14,11,0,02/10/2004,D,Southampton_Man City_2004
74,6,0,1,0,7,0,E0,D,M Clattenburg,Bolton,7,0,West Brom,18,16,13,0,2,5,15,0,02/10/2004,H,West Brom_Bolton_2004
75,6,0,2,1,3,0,E0,D,H Webb,Newcastle,6,3,Birmingham,17,6,10,1,2,5,14,2,03/10/2004,D,Birmingham_Newcastle_2004
76,11,0,0,0,3,0,E0,D,P Dowd,Liverpool,5,0,Chelsea,14,5,13,0,1,2,20,1,03/10/2004,H,Chelsea_Liverpool_2004
77,10,0,1,0,9,0,E0,A,R Styles,Middlesbrough,10,1,Man United,8,13,22,1,1,2,13,3,03/10/2004,D,Man United_Middlesbrough_2004
78,10,0,0,0,5,1,E0,D,M Riley,Fulham,10,1,Crystal Palace,10,8,20,0,2,3,10,1,04/10/2004,H,Crystal Palace_Fulham_2004
79,6,0,1,2,2,0,E0,H,G Poll,Aston Villa,15,2,Arsenal,11,5,18,1,3,3,22,4,16/10/2004,H,Arsenal_Aston Villa_2004
80,3,0,0,0,7,0,E0,D,M Halsey,Man United,6,1,Birmingham,16,12,14,0,0,3,11,0,16/10/2004,D,Birmingham_Man United_2004
81,2,1,4,0,10,0,E0,D,M Riley,Middlesbrough,5,2,Blackburn,12,16,12,0,0,10,14,1,16/10/2004,A,Blackburn_Middlesbrough_2004
82,7,0,0,1,2,0,E0,H,N Barry,Crystal Palace,7,1,Bolton,19,7,21,0,1,3,14,1,16/10/2004,H,Bolton_Crystal Palace_2004
83,5,0,0,0,4,0,E0,D,B Knight,Southampton,5,0,Everton,5,8,14,0,1,6,14,0,16/10/2004,H,Everton_Southampton_2004
84,3,0,4,2,3,1,E0,H,S Bennett,Liverpool,3,1,Fulham,12,10,5,0,2,6,14,3,16/10/2004,A,Fulham_Liverpool_2004
85,0,0,0,1,3,0,E0,H,H Webb,Chelsea,1,1,Man City,6,9,4,0,1,12,7,2,16/10/2004,H,Man City_Chelsea_2004
86,2,0,0,0,5,0,E0,D,P Crossley,Norwich,2,2,West Brom,13,12,9,0,0,3,21,2,16/10/2004,D,West Brom_Norwich_2004
87,8,0,1,0,8,0,E0,A,P Walton,Newcastle,6,1,Charlton,15,15,11,1,1,9,7,1,17/10/2004,D,Charlton_Newcastle_2004
88,3,0,0,0,7,0,E0,D,U Rennie,Tottenham,6,0,Portsmouth,12,16,11,0,1,5,11,0,18/10/2004,H,Portsmouth_Tottenham_2004
89,8,0,0,1,1,0,E0,H,P Dowd,Fulham,5,0,Aston Villa,21,7,11,0,2,4,14,1,23/10/2004,H,Aston Villa_Fulham_2004
90,12,0,0,2,4,0,E0,H,G Poll,Blackburn,13,1,Chelsea,11,7,17,0,4,3,11,2,23/10/2004,H,Chelsea_Blackburn_2004
91,7,0,0,2,6,0,E0,H,M Messias,West Brom,4,1,Crystal Palace,11,11,11,0,3,10,15,3,23/10/2004,H,Crystal Palace_West Brom_2004
92,12,0,0,0,1,0,E0,D,A D'Urso,Charlton,7,0,Liverpool,9,3,17,0,2,0,11,1,23/10/2004,H,Liverpool_Charlton_2004
93,11,0,3,0,9,0,E0,A,M Clattenburg,Everton,10,0,Norwich,8,13,22,2,2,4,11,2,23/10/2004,A,Norwich_Everton_2004
94,2,0,2,1,4,0,E0,D,C Foy,Bolton,5,0,Tottenham,14,6,8,1,1,3,17,0,23/10/2004,A,Tottenham_Bolton_2004
95,3,0,0,0,6,0,E0,D,M Riley,Arsenal,5,2,Man United,20,12,11,0,2,3,23,3,24/10/2004,H,Man United_Arsenal_2004
96,9,0,1,0,1,0,E0,A,M Atkinson,Portsmouth,11,0,Middlesbrough,5,3,26,1,1,0,5,2,24/10/2004,D,Middlesbrough_Portsmouth_2004
97,7,0,3,0,6,0,E0,D,S Dunn,Man City,11,2,Newcastle,13,11,16,0,4,5,14,3,24/10/2004,H,Newcastle_Man City_2004
98,4,0,0,0,2,0,E0,D,M Dean,Birmingham,1,0,Southampton,11,8,6,0,0,4,11,1,24/10/2004,D,Southampton_Birmingham_2004
99,7,0,2,0,4,0,E0,D,M Messias,Southampton,9,1,Arsenal,8,7,14,0,2,7,21,4,30/10/2004,D,Arsenal_Southampton_2004
100,11,0,1,0,1,0,E0,A,D Gallagher,Crystal Palace,11,1,Birmingham,8,4,16,1,0,3,14,1,30/10/2004,A,Birmingham_Crystal Palace_2004
101,6,0,2,2,9,0,E0,H,R Styles,Liverpool,7,2,Blackburn,14,13,8,1,2,6,11,1,30/10/2004,D,Blackburn_Liverpool_2004
102,3,0,2,0,7,0,E0,A,M Halsey,Middlesbrough,7,3,Charlton,14,11,8,1,1,4,8,0,30/10/2004,A,Charlton_Middlesbrough_2004
103,8,0,1,1,5,0,E0,D,S Dunn,Aston Villa,8,1,Everton,10,9,20,1,1,3,19,1,30/10/2004,D,Everton_Aston Villa_2004
104,5,0,0,1,1,0,E0,H,A Wiley,Tottenham,4,0,Fulham,11,5,8,0,2,4,9,1,30/10/2004,H,Fulham_Tottenham_2004
105,3,0,0,0,9,0,E0,D,N Barry,Man United,7,0,Portsmouth,19,20,11,0,2,9,9,2,30/10/2004,H,Portsmouth_Man United_2004
106,2,0,4,0,9,0,E0,A,B Knight,Chelsea,9,1,West Brom,12,19,12,1,1,6,8,0,30/10/2004,A,West Brom_Chelsea_2004
107,4,0,1,0,4,0,E0,D,G Poll,Newcastle,11,1,Bolton,14,5,17,0,2,5,11,1,31/10/2004,H,Bolton_Newcastle_2004
108,9,0,1,1,5,0,E0,H,S Bennett,Norwich,11,1,Man City,10,10,19,0,1,4,13,0,01/11/2004,D,Man City_Norwich_2004
109,6,0,0,3,2,0,E0,H,M Halsey,Portsmouth,9,1,Aston Villa,8,7,10,0,3,4,13,1,06/11/2004,H,Aston Villa_Portsmouth_2004
110,16,0,0,0,1,0,E0,D,M Riley,Everton,3,1,Chelsea,10,3,12,0,1,3,15,3,06/11/2004,H,Chelsea_Everton_2004
111,1,0,1,0,13,0,E0,D,M Dean,Arsenal,1,0,Crystal Palace,10,19,3,0,1,8,8,1,06/11/2004,D,Crystal Palace_Arsenal_2004
112,4,0,1,0,1,0,E0,D,U Rennie,Birmingham,8,3,Liverpool,19,6,17,0,0,5,17,1,06/11/2004,A,Liverpool_Birmingham_2004
113,7,0,1,0,9,1,E0,D,S Dunn,Blackburn,5,1,Norwich,18,15,12,0,1,4,12,0,06/11/2004,D,Norwich_Blackburn_2004
114,5,0,2,1,5,0,E0,A,S Bennett,West Brom,6,2,Southampton,13,10,11,2,2,1,14,0,06/11/2004,D,Southampton_West Brom_2004
115,5,0,3,0,3,1,E0,A,N Barry,Charlton,11,0,Tottenham,6,3,19,2,2,1,13,2,06/11/2004,A,Tottenham_Charlton_2004
116,16,1,0,0,1,0,E0,D,G Poll,Man City,10,2,Man United,10,3,15,0,0,1,10,2,07/11/2004,D,Man United_Man City_2004
117,3,0,1,0,4,1,E0,D,P Walton,Bolton,5,1,Middlesbrough,13,7,14,0,1,3,12,3,07/11/2004,D,Middlesbrough_Bolton_2004
118,19,0,4,0,7,0,E0,A,H Webb,Fulham,20,1,Newcastle,12,11,26,1,1,0,16,1,07/11/2004,A,Newcastle_Fulham_2004
119,5,1,1,0,8,0,E0,D,R Styles,Everton,4,0,Birmingham,13,9,15,0,0,3,12,1,13/11/2004,A,Birmingham_Everton_2004
120,9,0,2,1,5,0,E0,D,A D'Urso,Aston Villa,7,1,Bolton,10,10,15,1,1,5,17,1,13/11/2004,A,Bolton_Aston Villa_2004
121,1,0,0,2,4,0,E0,H,A Marriner,Norwich,11,0,Charlton,14,8,16,0,4,5,11,3,13/11/2004,H,Charlton_Norwich_2004
122,1,0,4,0,11,0,E0,A,U Rennie,Chelsea,2,0,Fulham,13,16,7,1,1,5,13,2,13/11/2004,A,Fulham_Chelsea_2004
123,7,0,2,2,4,0,E0,H,P Dowd,Crystal Palace,5,1,Liverpool,13,4,18,1,3,1,17,3,13/11/2004,H,Liverpool_Crystal Palace_2004
124,3,1,1,1,2,0,E0,H,M Clattenburg,Blackburn,7,1,Man City,19,11,8,0,1,5,13,3,13/11/2004,D,Man City_Blackburn_2004
125,4,0,1,1,6,0,E0,D,G Poll,Portsmouth,5,1,Southampton,14,13,11,1,2,8,15,3,13/11/2004,H,Southampton_Portsmouth_2004
