Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,Unnamed: 39,Unnamed: 40,Unnamed: 41
P1,2004-08-28,Belenenses,Maritimo,3,0,H,2,0,H,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.2,2.8,2.2,3.0,2.9,,,,2.25,3.2,2.75,2.15,3.2,2.9,2.1,1.6,2.25,1.49,-0.5,,,,,,
P1,2004-08-28,Sp Lisbon,Gil Vicente,3,2,H,2,0,H,1.25,4.5,10.0,1.35,4.0,8.0,1.35,4.0,8.0,1.3,4.2,8.0,,,,1.29,4.5,8.0,1.25,4.5,10.0,,,1.35,2.67,-0.5,,,,,,
P1,2004-08-29,Beira Mar,Benfica,2,3,A,0,2,A,4.33,3.4,1.66,4.5,3.5,1.65,4.5,3.3,1.7,4.4,3.3,1.65,,,,4.5,3.5,1.62,4.5,3.3,1.66,1.83,1.83,1.9,1.7,0.5,,,,,,
P1,2004-08-29,Boavista,Nacional,1,0,H,0,0,D,1.72,3.4,4.0,2.0,3.2,3.35,1.9,3.2,3.65,1.8,3.1,3.8,,,,1.91,3.2,3.5,1.8,3.3,3.75,2.0,1.65,1.9,1.71,-0.5,,,,,,
P1,2004-08-29,Estoril,Rio Ave,0,0,D,0,0,D,2.25,3.2,2.75,2.3,3.2,2.75,2.3,3.2,2.75,2.2,2.9,3.0,,,,2.25,3.2,2.75,2.15,3.2,2.9,1.85,1.79,2.3,1.48,-0.5,,,,,,
P1,2004-08-29,Moreirense,Guimaraes,0,0,D,0,0,D,1.9,3.2,3.5,1.85,3.25,3.75,1.85,3.25,3.75,2.0,3.1,3.2,,,,1.91,3.25,3.4,2.0,3.25,3.15,2.1,1.6,1.85,1.74,-0.5,,,,,,
P1,2004-08-29,Penafiel,Setubal,1,4,A,1,1,D,1.9,3.2,3.5,1.85,3.25,3.75,1.85,3.25,3.75,2.1,2.9,3.2,,,,1.91,3.25,3.4,1.95,3.25,3.3,1.85,1.79,1.85,1.74,-0.5,,,,,,
P1,2004-08-30,Academica,Sp Braga,2,2,D,1,2,A,2.3,3.25,2.62,2.3,3.2,2.75,2.3,3.2,2.75,2.4,2.9,2.7,,,,2.38,3.1,2.62,2.35,3.1,2.65,1.9,1.75,2.3,1.48,-0.5,,,,,,
P1,2004-09-05,Guimaraes,Academica,2,1,H,2,0,H,,,,1.8,3.4,3.8,1.8,3.25,4.0,1.8,3.1,3.8,,,,1.9,3.25,3.4,1.8,3.25,3.8,1.95,1.71,1.8,1.79,-0.5,,,,,,
P1,2004-09-10,Gil Vicente,Boavista,0,1,A,0,1,A,2.6,3.1,2.4,2.55,3.2,2.45,2.5,3.2,2.5,2.5,3.0,2.5,,,,2.5,3.1,2.5,2.5,3.1,2.5,2.0,1.65,1.9,1.9,0.0,,,,,,
P1,2004-09-11,Benfica,Moreirense,2,0,H,1,0,H,1.25,5.0,8.0,1.25,5.0,9.0,1.25,5.0,9.0,1.3,4.2,8.0,,,,1.3,4.33,8.0,1.22,5.0,9.5,1.65,2.0,1.95,1.85,-1.5,,,,,,
P1,2004-09-11,Leiria,Estoril,4,2,H,2,1,H,1.615,3.3,5.0,1.75,3.4,4.05,1.7,3.4,4.4,1.85,3.1,3.6,,,,1.66,3.4,4.33,1.61,3.5,4.5,1.9,1.75,2.0,1.8,-0.75,,,,,,
P1,2004-09-11,Maritimo,Penafiel,3,0,H,1,0,H,1.5,3.4,6.0,1.6,3.55,4.9,1.6,3.5,5.0,1.7,3.2,4.2,,,,1.57,3.5,5.0,1.57,3.5,5.0,1.9,1.75,1.75,2.08,-0.75,,,,,,
P1,2004-09-11,Sp Braga,Porto,1,1,D,0,1,A,4.0,3.4,1.727,4.05,3.4,1.75,4.0,3.3,1.8,3.5,3.1,1.9,,,,3.8,3.3,1.8,3.75,3.3,1.8,1.83,1.83,1.81,1.8,0.5,,,,,,
P1,2004-09-12,Nacional,Beira Mar,2,1,H,1,1,D,1.615,3.5,4.5,1.65,3.5,4.55,1.65,3.5,4.6,1.7,3.2,4.2,,,,,,,1.72,3.4,4.0,1.75,1.9,1.9,1.9,-0.75,,,,,,
P1,2004-09-12,Setubal,Sp Lisbon,2,0,H,0,0,D,4.0,3.2,1.8,3.65,3.35,1.85,3.75,3.3,1.85,3.5,3.1,1.9,,,,3.8,3.3,1.8,3.75,3.3,1.8,1.79,1.85,1.76,1.85,0.5,,,,,,
P1,2004-09-13,Rio Ave,Belenenses,3,3,D,2,0,H,1.8,3.2,4.0,2.0,3.25,3.3,1.9,3.25,3.6,2.0,3.0,3.3,,,,1.9,3.25,3.4,1.83,3.4,3.5,1.9,1.75,1.9,1.71,-0.5,,,,,,
P1,2004-09-17,Boavista,Setubal,1,1,D,1,0,H,1.61,3.5,4.5,1.6,3.55,4.9,1.6,3.55,4.9,1.65,3.3,4.4,,,,1.62,3.4,4.75,1.6,3.2,5.25,2.0,1.65,1.9,1.9,-0.75,,,,,,
P1,2004-09-18,Porto,Estoril,2,2,D,1,2,A,1.16,5.5,11.0,1.15,6.0,13.0,1.17,5.5,13.0,1.2,5.0,10.0,,,,1.17,5.5,12.0,1.14,6.0,12.0,1.55,2.2,,,,,,,,,
P1,2004-09-19,Academica,Benfica,0,1,A,0,0,D,4.0,3.4,1.72,4.3,3.45,1.7,4.3,3.25,1.75,4.4,3.3,1.65,,,,4.33,3.4,1.67,4.33,3.4,1.66,1.83,1.83,1.85,1.95,0.75,,,,,,
P1,2004-09-19,Beira Mar,Gil Vicente,1,0,H,1,0,H,1.9,3.2,3.5,1.9,3.3,3.55,1.9,3.2,3.65,2.0,3.1,3.2,,,,2.0,3.2,3.2,1.9,3.1,3.6,1.95,1.71,1.9,1.71,-0.5,,,,,,
P1,2004-09-19,Belenenses,Leiria,2,1,H,1,0,H,2.1,3.2,3.0,1.9,3.3,3.55,2.1,3.2,3.1,1.9,3.1,3.5,,,,2.2,3.25,2.75,2.0,3.0,3.4,1.9,1.75,2.1,1.57,-0.5,,,,,,
P1,2004-09-19,Moreirense,Nacional,3,2,H,2,0,H,2.2,3.0,3.0,2.0,3.25,3.3,2.2,3.0,3.1,2.0,3.1,3.2,,,,2.2,3.1,2.88,2.25,3.0,2.85,1.9,1.75,1.85,1.95,-0.25,,,,,,
P1,2004-09-19,Penafiel,Rio Ave,1,1,D,0,0,D,2.5,3.1,2.5,2.5,3.15,2.55,2.5,3.2,2.5,2.4,2.9,2.7,,,,2.5,3.1,2.5,2.62,2.9,2.5,1.95,1.71,1.8,2.0,0.0,,,,,,
P1,2004-09-20,Sp Lisbon,Maritimo,0,1,A,0,1,A,1.33,4.33,7.0,1.3,4.5,8.25,1.35,4.35,7.0,1.33,4.0,7.5,,,,1.36,3.75,8.0,1.33,4.0,8.0,1.75,1.9,1.96,1.84,-1.5,,,,,,
P1,2004-09-21,Sp Braga,Guimaraes,1,0,H,1,0,H,1.83,3.2,3.75,1.85,3.35,3.65,1.85,3.1,4.0,1.9,3.1,3.5,,,,1.83,3.2,3.75,1.8,3.25,3.75,1.95,1.66,1.85,1.75,-0.5,,,,,,
P1,2004-09-22,Porto,Leiria,1,1,D,1,0,H,1.25,5.0,8.0,1.25,5.0,9.0,1.25,5.0,9.0,1.3,4.2,8.0,,,,1.29,4.5,8.0,1.28,4.5,8.0,1.66,1.95,1.85,1.95,-1.5,,,,,,
P1,2004-09-24,Setubal,Beira Mar,1,2,A,1,1,D,1.83,3.2,3.75,1.8,3.4,3.8,1.85,3.3,3.75,1.8,3.1,3.8,,,,1.85,3.25,3.6,1.8,3.3,3.75,1.95,1.71,1.75,1.84,-0.5,,,,,,
P1,2004-09-25,Guimaraes,Porto,0,1,A,0,0,D,3.5,3.2,1.9,3.65,3.35,1.85,3.6,3.25,1.9,3.6,3.1,1.85,,,,3.6,3.25,1.85,3.6,3.3,1.83,1.95,1.71,1.71,1.9,0.5,,,,,,
P1,2004-09-25,Maritimo,Boavista,2,1,H,1,0,H,2.25,3.2,2.75,2.2,3.2,2.9,2.2,3.1,3.0,2.1,2.8,3.3,,,,2.25,3.1,2.8,2.1,3.2,3.0,2.1,1.6,1.95,1.85,-0.25,,,,,,
P1,2004-09-26,Benfica,Sp Braga,0,0,D,0,0,D,1.33,4.33,7.0,1.4,4.0,6.75,1.4,4.0,6.8,1.35,4.0,7.0,,,,1.4,3.75,7.0,1.4,3.75,7.0,,,1.9,1.9,-1.25,,,,,,
P1,2004-09-26,Gil Vicente,Moreirense,3,1,H,0,0,D,2.2,3.2,2.8,2.15,3.25,2.95,2.2,3.1,3.0,1.85,3.1,3.6,,,,2.2,3.2,2.8,2.2,3.1,2.87,1.95,1.71,1.85,1.95,-0.25,,,,,,
P1,2004-09-26,Leiria,Penafiel,1,2,A,0,2,A,1.66,3.4,4.33,1.5,3.65,5.8,1.6,3.5,5.0,1.6,3.4,4.6,,,,1.62,3.4,4.75,1.6,3.4,4.5,1.83,1.83,2.0,1.8,-1.0,,,,,,
P1,2004-09-26,Nacional,Academica,2,1,H,0,0,D,1.72,3.4,4.0,1.6,3.55,4.9,1.7,3.4,4.4,1.7,3.2,4.2,,,,1.62,3.4,4.75,1.72,3.4,4.0,1.83,1.83,1.8,2.0,-0.75,,,,,,
P1,2004-09-26,Rio Ave,Sp Lisbon,0,0,D,0,0,D,3.0,3.2,2.1,3.3,3.25,2.0,3.1,3.2,2.1,3.1,3.0,2.1,,,,3.2,3.2,2.0,3.1,3.2,2.05,1.95,1.71,2.0,1.8,0.25,,,,,,
P1,2004-09-27,Estoril,Belenenses,1,0,H,0,0,D,2.37,3.1,2.62,2.4,3.2,2.6,2.5,3.1,2.55,2.5,3.0,2.5,,,,2.38,3.1,2.6,2.5,3.1,2.5,2.0,1.65,1.9,1.9,0.0,,,,,,
P1,2004-10-01,Boavista,Rio Ave,0,1,A,0,1,A,1.66,3.25,4.5,1.6,3.55,4.9,1.7,3.3,4.5,1.75,3.1,4.2,,,,1.73,3.25,4.2,1.75,3.25,4.0,2.1,1.6,1.95,1.85,-0.75,,,,,,
P1,2004-10-03,Academica,Gil Vicente,2,1,H,2,1,H,2.0,3.2,3.2,2.15,3.25,2.95,2.1,3.2,3.1,2.1,3.0,3.1,,,,2.1,3.1,3.1,2.1,3.2,3.0,1.85,1.79,1.85,1.95,-0.25,,,,,,
P1,2004-10-03,Guimaraes,Benfica,1,2,A,0,0,D,4.5,3.25,1.66,4.05,3.4,1.75,4.0,3.25,1.8,3.6,3.1,1.85,,,,3.75,3.3,1.8,3.75,3.3,1.8,1.95,1.71,1.79,1.8,0.5,,,,,,
P1,2004-10-03,Moreirense,Setubal,2,2,D,1,0,H,2.1,3.2,3.0,1.95,3.25,3.4,2.1,3.2,3.1,2.0,3.0,3.3,,,,2.1,3.1,3.1,2.1,3.2,3.0,1.95,1.71,1.85,1.95,-0.25,,,,,,
P1,2004-10-03,Penafiel,Estoril,2,1,H,2,1,H,2.1,3.2,3.0,1.9,3.3,3.55,2.0,3.2,3.35,2.1,3.0,3.1,,,,2.0,3.2,3.2,2.05,3.1,3.2,1.9,1.75,1.8,2.0,-0.25,,,,,,
P1,2004-10-03,Porto,Belenenses,3,0,H,1,0,H,1.36,4.0,7.0,1.3,4.5,8.25,1.3,4.6,8.0,1.35,4.0,7.0,,,,1.33,4.0,8.0,1.3,4.33,8.0,1.71,1.95,1.3,2.92,-0.5,,,,,,
P1,2004-10-04,Sp Lisbon,Leiria,2,2,D,1,1,D,1.44,3.6,6.5,1.35,4.2,7.5,1.45,3.75,6.4,1.4,3.7,6.5,,,,1.4,3.75,7.0,1.4,3.75,7.0,1.79,1.85,1.45,2.36,-0.5,,,,,,
P1,2004-10-05,Sp Braga,Nacional,3,2,H,1,0,H,1.9,3.2,3.5,1.8,3.4,3.8,1.75,3.4,3.05,1.8,3.1,3.8,,,,1.85,3.25,3.6,1.83,3.2,3.75,2.0,1.65,1.75,1.85,-0.5,,,,,,
P1,2004-10-10,Beira Mar,Maritimo,2,2,D,1,0,H,2.1,3.2,3.0,2.1,3.25,3.05,2.2,3.05,3.0,2.2,2.9,3.0,,,,2.25,3.0,2.88,2.25,3.0,2.87,1.85,1.79,2.2,1.51,-0.5,,,,,,
P1,2004-10-15,Gil Vicente,Sp Braga,0,1,A,0,0,D,2.4,3.1,2.6,2.35,3.2,2.65,2.5,3.2,2.5,2.3,3.0,2.7,2.5,3.2,2.5,2.5,3.1,2.5,2.4,3.25,2.5,1.9,1.75,1.4,2.5,0.5,,,,,,
P1,2004-10-16,Estoril,Sp Lisbon,1,4,A,0,2,A,3.5,3.2,1.9,3.4,3.25,1.95,3.5,3.2,1.95,3.5,3.1,1.9,,,,3.5,3.2,1.91,3.3,3.25,1.95,1.9,1.75,1.67,1.95,0.5,,,,,,
P1,2004-10-16,Maritimo,Moreirense,1,0,H,0,0,D,1.53,3.5,5.5,1.55,3.6,5.3,1.5,3.6,5.9,1.55,3.5,4.8,,,,1.57,3.5,5.0,1.57,3.5,5.0,1.83,1.83,1.5,2.24,-0.5,,,,,,
P1,2004-10-16,Nacional,Guimaraes,1,0,H,1,0,H,1.72,3.4,4.0,1.75,3.4,4.05,1.8,3.2,4.1,1.9,3.1,3.5,,,,1.8,3.1,4.0,1.8,3.4,3.6,1.83,1.83,1.8,1.8,-0.5,,,,,,
P1,2004-10-17,Belenenses,Penafiel,4,1,H,0,1,A,1.66,3.4,4.33,1.7,3.45,4.3,1.7,3.3,4.5,1.7,3.2,4.2,,,,1.73,3.25,4.2,1.72,3.4,4.0,1.83,1.83,1.7,1.9,-0.5,,,,,,
P1,2004-10-17,Benfica,Porto,0,1,A,0,1,A,2.37,3.0,2.75,2.3,3.2,2.75,2.3,3.0,2.9,2.1,3.0,3.1,,,,2.25,3.1,2.8,2.37,2.9,2.8,2.0,1.65,2.3,1.47,-0.5,,,,,,
P1,2004-10-17,Leiria,Boavista,0,3,A,0,1,A,2.25,3.1,2.8,2.2,3.2,2.9,2.2,3.1,3.0,2.2,2.9,3.0,,,,2.3,3.2,2.62,2.25,3.2,2.75,1.9,1.75,2.2,1.52,-0.5,,,,,,
P1,2004-10-17,Rio Ave,Beira Mar,1,1,D,1,0,H,1.83,3.2,3.75,2.0,3.25,3.3,1.85,3.1,4.0,1.85,3.1,3.6,,,,1.83,3.2,3.75,1.83,3.4,3.5,1.85,1.79,1.85,1.75,-0.5,,,,,,
P1,2004-10-18,Setubal,Academica,1,0,H,0,0,D,1.66,3.3,4.5,1.7,3.45,4.3,1.75,3.3,4.2,1.8,3.1,3.8,1.667,3.25,4.5,1.75,3.2,4.2,1.72,3.4,4.0,1.83,1.83,1.75,1.85,-0.5,,,,,,
P1,2004-10-22,Boavista,Estoril,0,0,D,0,0,D,1.44,3.75,6.5,1.4,4.0,6.75,1.5,3.6,6.0,1.5,3.5,5.4,1.5,3.4,6.0,1.5,3.6,5.5,1.44,3.6,6.5,2.0,1.65,1.5,2.25,-0.5,,,,,,
P1,2004-10-23,Moreirense,Rio Ave,0,0,D,0,0,D,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.0,3.0,2.2,2.8,3.1,,,,2.25,3.2,2.75,2.1,3.2,3.0,1.95,1.71,2.25,1.5,-0.5,,,,,,
P1,2004-10-23,Sp Braga,Setubal,2,3,A,2,1,H,1.72,3.2,4.33,1.8,3.4,3.8,1.75,3.3,4.25,1.75,3.2,4.0,,,,1.73,3.25,4.2,1.7,3.3,4.2,1.95,1.71,1.75,1.86,-0.5,,,,,,
P1,2004-10-23,Sp Lisbon,Belenenses,2,0,H,0,0,D,1.5,3.6,5.5,1.4,4.0,6.75,1.45,3.75,6.5,1.4,3.9,6.0,,,,1.44,3.75,6.0,1.44,3.6,6.5,1.71,1.95,1.45,2.38,-0.5,,,,,,
P1,2004-10-24,Academica,Maritimo,1,0,H,1,0,H,2.62,3.0,2.5,2.5,3.15,2.5,2.55,3.1,2.5,2.4,2.9,2.7,,,,2.5,3.1,2.5,2.6,3.1,2.4,1.9,1.75,1.4,2.5,0.5,,,,,,
P1,2004-10-24,Beira Mar,Leiria,0,1,A,0,0,D,1.9,3.25,3.5,1.95,3.25,3.4,2.0,3.15,3.4,2.0,3.0,3.3,,,,2.0,3.2,3.2,2.0,3.2,3.2,1.9,1.75,2.0,1.64,-0.5,,,,,,
P1,2004-10-24,Benfica,Nacional,2,1,H,0,0,D,1.33,4.33,7.5,1.25,5.0,9.0,1.3,4.5,8.5,1.33,4.0,7.5,,,,1.3,4.33,8.0,1.33,4.0,8.0,1.71,1.95,1.3,2.94,-0.5,,,,,,
P1,2004-10-24,Guimaraes,Gil Vicente,2,1,H,2,0,H,1.8,3.2,4.0,1.8,3.4,3.8,1.8,3.25,4.0,1.8,3.1,3.8,,,,1.8,3.3,3.75,1.85,3.3,3.5,1.9,1.75,1.8,1.79,-0.5,,,,,,
P1,2004-10-24,Porto,Penafiel,2,0,H,2,0,H,1.2,5.0,11.0,1.2,5.5,10.0,1.2,5.3,11.0,1.2,5.0,10.0,,,,1.2,5.0,11.0,,,,1.65,2.0,1.2,3.58,-0.5,,,,,,
P1,2004-10-30,Nacional,Porto,2,2,D,0,1,A,4.33,3.25,1.72,3.8,3.4,1.8,4.0,3.25,1.8,3.8,3.1,1.8,4.0,3.4,1.727,3.75,3.3,1.8,3.75,3.2,1.83,1.83,1.83,1.79,1.8,0.5,,,,,,
P1,2004-10-30,Penafiel,Sp Lisbon,0,3,A,0,0,D,4.33,3.25,1.72,4.0,3.45,1.75,4.0,3.45,1.75,4.4,3.3,1.65,4.333,3.2,1.727,4.0,3.4,1.73,4.2,3.25,1.72,1.9,1.75,1.85,1.75,0.5,,,,,,
P1,2004-10-31,Belenenses,Boavista,1,2,A,1,1,D,2.2,3.2,2.8,2.15,3.25,2.95,2.25,3.3,2.75,2.3,2.9,2.8,,,,2.2,3.25,2.75,2.25,3.2,2.7,1.9,1.75,2.25,1.5,-0.5,,,,,,
P1,2004-10-31,Estoril,Beira Mar,5,0,H,3,0,H,2.25,3.2,2.75,2.15,3.25,2.95,2.3,3.1,2.8,2.2,2.9,3.0,,,,2.25,3.25,2.7,2.25,3.2,2.7,1.83,1.83,2.3,1.47,-0.5,,,,,,
P1,2004-10-31,Gil Vicente,Benfica,1,1,D,1,0,H,5.5,3.5,1.5,5.3,3.6,1.55,5.25,3.6,1.55,4.8,3.5,1.55,6.5,3.6,1.444,5.5,3.5,1.53,5.5,3.5,1.53,1.83,1.83,2.14,1.55,0.5,,,,,,
P1,2004-10-31,Leiria,Moreirense,0,0,D,0,0,D,1.72,3.4,4.0,1.8,3.4,3.8,1.8,3.35,3.85,1.75,3.2,4.0,,,,1.75,3.3,4.0,1.75,3.3,4.0,1.83,1.83,1.8,1.79,-0.5,,,,,,
P1,2004-10-31,Rio Ave,Academica,3,1,H,1,0,H,1.8,3.2,4.0,1.8,3.4,3.8,1.8,3.2,4.1,1.75,3.2,4.0,,,,1.8,3.25,3.8,1.75,3.3,4.0,2.0,1.65,1.8,1.8,-0.5,,,,,,
P1,2004-11-01,Maritimo,Sp Braga,2,0,H,1,0,H,1.9,3.2,3.5,1.8,3.4,3.8,1.95,3.25,3.4,1.85,3.1,3.6,1.909,3.2,3.5,1.91,3.25,3.4,1.9,3.25,3.4,1.83,1.83,1.95,1.66,-0.5,,,,,,
P1,2004-11-01,Setubal,Guimaraes,1,0,H,0,0,D,1.8,3.2,4.0,1.7,3.45,4.3,1.85,3.25,3.75,1.8,3.1,3.8,1.8,3.25,3.75,1.8,3.25,3.8,1.8,3.3,3.75,1.9,1.75,1.85,1.74,-0.5,,,,,,
P1,2004-11-05,Beira Mar,Belenenses,3,3,D,1,1,D,2.1,3.2,3.0,2.1,3.25,3.05,2.15,3.25,2.95,2.2,2.9,3.0,2.1,3.2,3.0,2.1,3.2,3.0,2.2,3.25,2.75,1.9,1.75,2.15,1.55,-0.5,1.825,2.025,-0.25,,,
P1,2004-11-06,Boavista,Penafiel,2,1,H,0,1,A,1.44,3.75,6.0,1.4,4.0,6.75,1.4,3.95,7.0,1.45,3.6,5.8,,,,1.44,3.75,6.0,1.4,3.75,7.0,1.9,1.75,1.4,2.53,-0.5,2.0,1.85,-1.25,,,
P1,2004-11-06,Guimaraes,Maritimo,1,1,D,0,1,A,2.37,3.1,2.62,2.35,3.2,2.65,2.35,3.25,2.65,2.3,2.9,2.8,,,,2.3,3.1,2.7,2.3,3.2,2.65,2.0,1.65,2.35,1.46,-0.5,2.025,1.825,-0.25,,,
P1,2004-11-07,Academica,Leiria,0,1,A,0,1,A,2.1,3.2,3.0,2.2,3.2,2.9,2.1,3.2,3.1,2.2,2.9,3.0,,,,2.1,3.2,3.0,2.0,3.2,3.2,1.95,1.71,2.1,1.57,-0.5,1.95,1.9,-0.25,,,
P1,2004-11-07,Benfica,Setubal,4,0,H,1,0,H,1.4,3.75,7.0,1.45,3.8,6.25,1.4,4.0,6.75,1.45,3.6,5.8,,,,1.4,3.75,7.0,1.4,3.75,7.0,1.79,1.85,1.4,2.51,-0.5,2.025,1.825,-1.25,,,
P1,2004-11-07,Moreirense,Estoril,1,2,A,1,0,H,2.0,3.2,3.2,1.9,3.3,3.55,2.0,3.1,3.45,1.9,3.1,3.5,,,,2.0,3.1,3.3,2.0,3.2,3.2,1.9,1.75,2.0,1.63,-0.5,2.025,1.825,-0.5,,,
P1,2004-11-07,Nacional,Gil Vicente,0,0,D,0,0,D,1.57,3.5,5.0,1.5,3.65,5.8,1.55,3.5,5.5,1.6,3.3,4.8,,,,1.57,3.5,5.0,1.55,3.5,5.25,1.83,1.83,1.55,2.14,-0.5,2.025,1.825,-1.0,,,
P1,2004-11-07,Sp Braga,Rio Ave,3,0,H,2,0,H,1.9,3.2,3.5,1.9,3.3,3.55,2.0,3.0,3.6,2.0,2.9,3.4,,,,2.0,3.1,3.3,1.85,3.2,3.7,2.0,1.65,2.0,1.64,-0.5,2.025,1.825,-0.5,,,
P1,2004-11-08,Porto,Sp Lisbon,3,0,H,0,0,D,1.72,3.2,4.33,1.8,3.4,3.8,1.8,3.4,3.8,1.8,3.1,3.8,1.727,3.2,4.333,1.75,3.3,4.0,1.72,3.25,4.2,1.95,1.71,1.8,1.79,-0.5,1.9,1.95,-0.5,,,
