Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,B365AHH,B365AHA,B365AH,Unnamed: 39,Unnamed: 40,Unnamed: 41
P1,2004-11-12,Estoril,Academica,0,1,A,0,0,D,1.83,3.25,3.6,1.8,3.4,3.8,1.85,3.25,3.8,1.8,3.1,3.8,1.8,3.25,3.75,1.85,3.25,3.6,1.75,3.25,4.0,1.95,1.71,1.85,1.75,-0.5,1.925,1.925,-0.5,,,
P1,2004-11-13,Belenenses,Moreirense,3,0,H,1,0,H,1.61,3.5,4.5,1.7,3.45,4.3,1.65,3.4,4.75,1.65,3.3,4.4,1.62,3.25,5.0,1.62,3.4,4.75,1.7,3.3,4.2,1.9,1.75,1.65,1.98,-0.5,2.0,1.85,-0.75,,,
P1,2004-11-13,Gil Vicente,Porto,0,2,A,0,1,A,5.0,3.5,1.57,5.8,3.65,1.5,5.0,3.5,1.6,4.8,3.5,1.55,5.0,3.5,1.57,5.5,3.4,1.53,6.0,3.4,1.5,1.9,1.75,2.06,1.6,0.5,1.85,2.0,1.0,,,
P1,2004-11-13,Maritimo,Benfica,1,1,D,1,1,D,3.0,3.25,2.1,2.95,3.25,2.15,3.1,3.0,2.2,2.8,2.9,2.3,3.0,3.2,2.1,2.88,3.1,2.2,3.1,3.1,2.1,1.95,1.71,1.52,2.2,0.5,2.0,1.85,0.25,,,
P1,2004-11-13,Penafiel,Beira Mar,2,1,H,2,1,H,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.2,2.8,2.3,2.9,2.8,2.1,3.2,3.0,2.25,3.2,2.75,2.05,3.2,3.1,1.95,1.71,2.25,1.49,-0.5,2.0,1.85,-0.25,,,
P1,2004-11-13,Setubal,Nacional,1,0,H,0,0,D,1.8,3.4,3.75,1.7,3.45,4.3,1.8,3.4,3.8,1.75,3.2,4.0,1.8,3.25,3.75,1.8,3.25,3.8,1.85,3.25,3.6,1.95,1.71,1.8,1.79,-0.5,1.825,2.025,-0.5,,,
P1,2004-11-14,Leiria,Sp Braga,0,0,D,0,0,D,2.25,3.2,2.75,2.3,3.2,2.75,2.25,3.2,2.8,2.1,3.0,3.1,2.25,3.2,2.75,2.25,3.1,2.8,2.25,3.2,2.75,2.0,1.65,2.25,1.49,-0.5,2.0,1.85,-0.25,,,
P1,2004-11-14,Sp Lisbon,Boavista,6,1,H,3,0,H,1.61,3.5,4.5,1.75,3.4,4.05,1.7,3.4,4.35,1.7,3.2,4.2,1.62,3.25,5.0,1.67,3.4,4.33,1.6,3.4,4.8,1.95,1.71,1.7,1.91,-0.5,1.925,1.925,-0.75,,,
P1,2004-11-15,Rio Ave,Guimaraes,1,1,D,1,0,H,1.8,3.4,3.75,1.75,3.4,4.05,1.8,3.4,3.8,1.85,3.0,3.8,1.8,3.25,3.75,1.83,3.2,3.75,1.9,3.2,3.5,2.0,1.65,1.8,1.79,-0.5,1.85,2.0,-0.5,,,
P1,2004-11-19,Nacional,Maritimo,1,1,D,0,0,D,2.4,3.0,2.7,2.3,3.2,2.75,2.4,3.0,2.75,2.5,2.8,2.7,2.38,3.0,2.75,2.38,3.0,2.7,2.2,3.2,2.8,2.0,1.65,2.4,1.43,-0.5,1.775,2.075,0.0,,,
P1,2004-11-20,Beira Mar,Sp Lisbon,2,2,D,1,1,D,3.4,3.25,1.9,4.05,3.4,1.75,4.0,3.25,1.8,3.8,3.1,1.8,,,,3.75,3.2,1.83,3.6,3.4,1.8,1.79,1.85,1.79,1.8,0.5,1.9,1.95,0.75,,,
P1,2004-11-20,Porto,Boavista,0,1,A,0,0,D,1.5,3.6,5.5,1.5,3.65,5.8,1.42,3.75,7.0,1.5,3.5,5.4,,,,1.5,3.4,6.0,1.4,3.75,7.0,1.85,1.79,1.42,2.44,-0.5,1.95,1.9,-1.0,,,
P1,2004-11-21,Benfica,Rio Ave,3,3,D,3,1,H,1.33,4.33,7.0,1.3,4.5,8.25,1.3,4.5,8.25,1.33,4.0,7.5,1.286,4.333,9.0,1.33,4.0,8.0,1.28,4.5,8.0,1.85,1.79,1.3,2.91,-0.5,1.775,2.075,-1.25,,,
P1,2004-11-21,Gil Vicente,Setubal,2,1,H,1,0,H,2.7,3.0,2.4,3.05,3.25,2.1,2.7,3.1,2.4,2.5,3.0,2.5,,,,2.7,3.0,2.38,2.9,3.2,2.15,1.95,1.71,1.44,2.4,0.5,1.875,1.975,0.25,,,
P1,2004-11-21,Guimaraes,Leiria,1,1,D,1,0,H,2.2,3.0,3.0,2.1,3.25,3.05,2.1,3.1,3.2,2.1,3.0,3.1,,,,2.1,3.1,3.1,2.2,3.2,2.8,2.0,1.65,2.1,1.57,-0.5,1.875,1.975,-0.25,,,
P1,2004-11-21,Moreirense,Penafiel,2,2,D,2,2,D,2.0,3.2,3.2,1.9,3.3,3.55,1.9,3.15,3.75,1.9,3.0,3.6,,,,1.91,3.2,3.5,2.1,3.2,3.0,1.9,1.75,1.9,1.71,-0.5,1.975,1.875,-0.5,,,
P1,2004-11-21,Sp Braga,Estoril,2,0,H,1,0,H,1.72,3.4,4.0,1.7,3.45,4.3,1.73,3.25,4.4,1.65,3.3,4.4,,,,1.7,3.25,4.33,1.6,3.5,4.5,1.85,1.79,1.73,1.87,-0.5,1.75,2.1,-0.5,,,
P1,2004-11-22,Academica,Belenenses,1,1,D,1,0,H,2.2,3.0,3.0,2.1,3.25,3.05,2.2,3.1,3.0,2.1,3.0,3.1,2.1,3.2,3.0,2.1,3.1,3.1,2.0,3.2,3.2,1.9,1.75,2.2,1.52,-0.5,1.825,2.025,-0.25,,,
P1,2004-11-26,Boavista,Beira Mar,3,0,H,1,0,H,1.5,3.6,5.5,1.4,4.0,6.75,1.5,3.5,6.25,1.45,3.8,5.4,1.5,3.4,6.0,1.5,3.6,5.5,1.5,3.4,6.0,1.95,1.71,1.5,2.24,-0.5,1.95,1.9,-1.0,,,
P1,2004-11-27,Belenenses,Sp Braga,1,2,A,0,0,D,2.1,3.1,3.1,2.2,3.2,2.9,2.2,3.1,3.0,2.2,2.9,3.0,,,,2.2,3.1,2.88,2.2,3.1,2.87,1.83,1.83,2.2,1.52,-0.5,1.9,1.95,-0.25,,,
P1,2004-11-28,Estoril,Guimaraes,0,1,A,0,0,D,1.9,3.25,3.4,1.95,3.25,3.45,2.15,3.0,3.2,2.2,2.9,3.0,,,,2.0,3.1,3.3,2.2,3.1,2.87,2.0,1.65,2.15,1.55,-0.5,1.8,2.05,-0.25,,,
P1,2004-11-28,Leiria,Benfica,1,0,H,1,0,H,3.8,3.25,1.8,3.8,3.4,1.8,3.8,3.1,1.9,3.6,3.1,1.85,,,,3.75,3.2,1.83,3.75,3.2,1.83,1.95,1.71,1.71,1.9,0.5,1.9,1.95,0.5,,,
P1,2004-11-28,Maritimo,Gil Vicente,1,1,D,1,0,H,1.5,3.6,5.5,1.5,3.65,5.8,1.5,3.5,6.25,1.45,3.8,5.4,,,,1.5,3.6,5.5,1.44,3.6,6.5,1.95,1.71,1.5,2.24,-0.5,2.05,1.8,-1.25,,,
P1,2004-11-28,Penafiel,Academica,3,1,H,1,1,D,2.0,3.2,3.2,2.0,3.25,3.3,2.0,3.15,3.4,2.1,2.9,3.2,,,,2.0,3.2,3.2,2.0,3.2,3.2,2.0,1.65,2.0,1.64,-0.5,2.05,1.8,-0.5,,,
P1,2004-11-28,Rio Ave,Nacional,4,1,H,2,0,H,1.83,3.1,4.0,1.7,3.4,4.35,1.9,3.0,3.95,1.8,3.1,3.8,,,,1.91,3.0,3.75,2.0,3.2,3.2,1.95,1.71,1.9,1.71,-0.5,1.975,1.875,-0.5,,,
P1,2004-11-28,Sp Lisbon,Moreirense,4,1,H,2,0,H,1.25,5.0,8.0,1.3,4.5,8.25,1.3,4.5,8.25,1.25,4.5,9.0,,,,1.29,4.5,8.0,1.28,4.5,8.0,1.65,2.0,1.3,2.91,-0.5,1.875,1.975,-1.5,,,
P1,2004-11-29,Setubal,Porto,0,1,A,0,1,A,3.2,3.2,2.0,3.3,3.25,2.0,3.5,3.2,1.95,3.8,3.1,1.8,3.6,3.25,1.833,3.5,3.2,1.91,3.75,3.2,1.83,2.0,1.65,1.67,1.95,0.5,1.9,1.95,0.5,,,
P1,2004-12-03,Porto,Beira Mar,0,1,A,0,1,A,1.25,5.0,8.0,,,,1.23,5.25,9.25,1.22,4.8,9.5,1.22,5.0,10.0,1.22,5.0,9.5,1.2,5.0,11.0,1.65,2.0,1.23,3.35,-0.5,1.925,1.925,-1.5,,,
P1,2004-12-04,Guimaraes,Belenenses,1,0,H,1,0,H,2.0,3.2,3.2,1.9,3.3,3.55,2.0,3.15,3.4,2.0,3.0,3.3,2.0,3.2,3.2,2.0,3.2,3.2,1.95,3.1,3.5,1.85,1.79,2.0,1.64,-0.5,2.05,1.8,-0.5,,,
P1,2004-12-04,Nacional,Leiria,0,3,A,0,0,D,2.1,3.2,3.0,2.1,3.25,3.05,2.2,3.1,3.0,2.2,2.9,3.0,2.1,3.2,3.0,2.1,3.1,3.1,2.15,3.1,3.0,1.95,1.71,2.2,1.52,-0.5,1.925,1.925,-0.25,,,
P1,2004-12-05,Academica,Sp Lisbon,2,3,A,0,2,A,3.4,3.25,1.9,3.8,3.4,1.8,3.7,3.25,1.87,3.8,3.1,1.8,3.75,3.25,1.8,3.75,3.2,1.83,3.75,3.3,1.8,1.83,1.83,1.73,1.87,0.5,2.0,1.85,0.5,,,
P1,2004-12-05,Gil Vicente,Rio Ave,3,1,H,1,0,H,2.5,3.0,2.62,2.4,3.2,2.6,2.4,3.1,2.7,2.4,2.7,2.9,2.25,3.2,2.75,2.4,3.1,2.6,2.2,3.0,3.0,1.95,1.71,2.4,1.44,-0.5,1.975,1.875,-0.25,,,
P1,2004-12-05,Moreirense,Boavista,1,1,D,0,0,D,4.0,3.2,1.8,3.3,3.25,2.0,3.35,3.2,2.0,3.5,3.1,1.9,3.2,3.2,2.0,3.5,3.2,1.91,3.1,3.1,2.1,1.9,1.75,1.64,2.0,0.5,1.825,2.025,0.5,,,
P1,2004-12-05,Setubal,Maritimo,2,0,H,1,0,H,2.1,3.1,3.1,1.9,3.3,3.55,2.15,3.15,3.05,2.1,2.9,3.2,2.1,3.2,3.0,2.1,3.2,3.0,2.0,3.2,3.2,1.95,1.71,2.15,1.55,-0.5,1.8,2.05,-0.25,,,
P1,2004-12-05,Sp Braga,Penafiel,0,1,A,0,0,D,1.57,3.5,5.0,1.5,3.65,5.8,1.6,3.4,5.25,1.55,3.4,5.0,1.57,3.5,5.0,1.57,3.5,5.0,1.55,3.4,5.5,1.71,1.95,1.6,2.06,-0.5,1.925,1.925,-1.0,,,
P1,2004-12-06,Benfica,Estoril,2,1,H,2,1,H,1.28,4.5,8.0,1.3,4.5,8.25,1.28,4.55,9.0,1.27,4.3,8.5,1.29,4.5,8.0,1.29,4.5,8.0,1.28,4.5,8.0,1.71,1.95,1.28,3.02,-0.5,1.925,1.925,-1.5,,,
P1,2004-12-10,Boavista,Academica,1,0,H,0,0,D,1.28,4.5,8.0,1.35,4.25,7.4,1.37,4.0,7.7,1.35,3.8,7.5,1.29,4.5,8.0,1.33,4.33,7.0,1.33,4.0,8.0,1.83,1.83,1.37,2.63,-0.5,2.0,1.85,-1.25,,,
P1,2004-12-11,Rio Ave,Setubal,1,0,H,1,0,H,2.1,3.2,3.0,2.1,3.25,3.05,2.1,3.1,3.2,2.0,2.9,3.4,,,,2.1,3.1,3.1,2.15,3.1,2.95,1.83,1.83,2.1,1.57,-0.5,1.8,2.05,-0.25,,,
P1,2004-12-11,Sp Lisbon,Sp Braga,0,0,D,0,0,D,1.5,3.6,5.5,1.55,3.6,5.3,1.47,3.6,6.5,1.5,3.5,5.4,,,,1.5,3.6,5.5,1.4,3.75,7.0,1.75,1.9,1.47,2.32,-0.5,2.05,1.8,-1.25,,,
P1,2004-12-12,Beira Mar,Moreirense,1,3,A,1,2,A,1.66,3.4,4.33,1.8,3.4,3.8,1.8,3.2,4.1,1.75,3.2,4.0,,,,1.75,3.3,4.0,1.75,3.3,4.0,1.85,1.79,1.8,1.8,-0.5,1.85,2.0,-0.5,,,
P1,2004-12-12,Belenenses,Benfica,4,1,H,3,0,H,3.6,3.25,1.83,3.7,3.3,1.85,3.8,3.25,1.85,3.6,3.1,1.85,,,,3.75,3.3,1.8,3.8,3.25,1.8,1.85,1.79,1.75,1.85,0.5,1.925,1.925,0.5,,,
P1,2004-12-12,Estoril,Nacional,2,0,H,1,0,H,2.0,3.2,3.2,1.9,3.3,3.55,2.0,3.2,3.35,1.9,3.1,3.5,,,,2.0,3.2,3.2,2.0,3.2,3.2,1.9,1.75,2.0,1.64,-0.5,2.1,1.75,-0.5,,,
P1,2004-12-12,Leiria,Gil Vicente,1,1,D,0,1,A,1.61,3.25,5.0,1.65,3.35,4.8,1.7,3.3,4.55,1.7,3.2,4.2,,,,1.67,3.3,4.5,1.65,3.35,4.5,1.95,1.71,1.7,1.91,-0.5,2.025,1.825,-0.75,,,
P1,2004-12-12,Penafiel,Guimaraes,1,3,A,0,2,A,2.1,3.2,3.0,1.95,3.25,3.45,2.2,3.0,3.1,2.2,2.9,3.0,,,,2.1,3.1,3.1,2.1,3.2,3.0,2.0,1.65,2.2,1.52,-0.5,1.925,1.925,-0.25,,,
P1,2004-12-17,Porto,Moreirense,1,0,H,1,0,H,1.2,5.0,11.0,1.15,6.0,13.0,1.2,5.35,11.0,1.22,4.8,9.5,1.2,5.0,11.0,1.2,5.0,11.0,1.22,5.0,9.5,1.65,2.0,1.2,3.6,-0.5,2.05,1.8,-1.75,,,
P1,2004-12-18,Benfica,Penafiel,1,0,H,1,0,H,1.3,4.33,8.0,1.3,4.5,8.25,1.3,4.5,8.25,1.27,4.3,8.5,,,,1.3,4.33,8.0,1.3,4.33,8.0,1.65,2.0,1.3,2.91,-0.5,1.875,1.975,-1.5,,,
P1,2004-12-18,Sp Braga,Boavista,3,0,H,2,0,H,2.37,3.1,2.62,2.3,3.2,2.75,2.35,3.1,2.75,2.3,2.8,2.9,,,,2.4,3.1,2.6,2.3,3.1,2.7,2.0,1.65,2.35,1.46,-0.5,1.8,2.05,0.0,,,
P1,2004-12-19,Academica,Beira Mar,1,1,D,1,0,H,2.0,3.2,3.2,2.3,3.2,2.75,2.05,3.15,3.25,1.9,3.1,3.5,,,,2.1,3.2,3.0,2.0,3.2,3.2,1.95,1.71,2.05,1.6,-0.5,1.8,2.05,-0.25,,,
P1,2004-12-19,Gil Vicente,Estoril,2,0,H,0,0,D,1.8,3.3,3.75,1.8,3.4,3.8,1.85,3.25,3.8,1.85,3.1,3.6,,,,1.91,3.1,3.6,1.8,3.3,3.75,1.9,1.75,1.85,1.75,-0.5,1.8,2.05,-0.5,,,
P1,2004-12-19,Maritimo,Rio Ave,1,1,D,1,0,H,1.8,3.2,4.0,1.85,3.35,3.65,1.85,3.15,3.95,1.85,3.1,3.6,,,,1.85,3.1,3.8,1.8,3.3,3.75,2.0,1.65,1.85,1.75,-0.5,1.7,2.15,-0.5,,,
P1,2004-12-19,Nacional,Belenenses,2,0,H,1,0,H,2.1,3.0,3.2,2.25,3.2,2.8,2.1,3.1,3.2,2.3,2.8,2.9,,,,2.2,3.1,2.88,2.2,3.1,2.9,1.95,1.71,2.1,1.57,-0.5,1.8,2.05,-0.25,,,
P1,2004-12-19,Setubal,Leiria,1,1,D,0,0,D,2.0,3.1,3.3,2.1,2.95,3.35,2.1,3.1,3.2,2.1,2.8,3.3,2.1,3.2,3.0,2.1,3.1,3.1,2.1,3.1,3.1,2.0,1.65,2.1,1.57,-0.5,1.8,2.05,-0.25,,,
P1,2004-12-20,Guimaraes,Sp Lisbon,2,4,A,1,2,A,3.3,3.1,2.0,3.1,3.2,2.1,3.15,3.15,2.1,3.2,3.1,2.0,,,,3.0,3.2,2.1,3.2,3.2,2.0,1.83,1.83,1.58,2.1,0.5,1.775,2.075,0.5,,,
P1,2004-12-22,Maritimo,Porto,1,1,D,1,1,D,3.2,3.2,2.0,3.5,3.2,1.95,3.5,3.2,1.95,3.3,3.0,2.0,3.2,3.2,2.0,3.2,3.2,2.0,3.3,3.1,2.0,2.0,1.65,1.67,1.95,0.5,2.075,1.775,0.25,,,
P1,2005-01-07,Estoril,Setubal,2,1,H,0,1,A,2.3,3.1,2.7,2.3,3.2,2.75,2.3,3.1,2.8,2.2,2.9,3.0,2.25,3.0,2.88,2.3,3.1,2.7,2.3,3.1,2.75,2.0,1.65,2.3,1.47,-0.5,1.8,2.05,0.0,,,
P1,2005-01-08,Boavista,Guimaraes,2,1,H,1,0,H,1.57,3.25,5.5,1.5,3.65,5.8,1.65,3.25,5.0,1.6,3.4,4.6,,,,1.62,3.4,4.75,1.66,3.3,4.5,2.0,1.65,1.65,1.97,-0.5,1.925,1.925,-0.75,,,
P1,2005-01-08,Sp Lisbon,Benfica,2,1,H,1,1,D,2.2,3.0,3.0,2.3,3.05,2.85,2.3,3.0,2.9,2.4,2.9,2.7,2.2,3.2,2.8,2.2,3.0,3.0,2.2,3.0,3.0,1.83,1.83,2.3,1.47,-0.5,2.0,1.85,-0.25,,,
P1,2005-01-09,Beira Mar,Sp Braga,1,4,A,1,0,H,2.5,3.1,2.5,2.9,3.2,2.2,2.65,3.0,2.5,2.8,2.9,2.3,,,,2.7,3.0,2.4,2.6,3.1,2.4,1.85,1.79,1.41,2.5,0.5,2.0,1.85,0.0,,,
P1,2005-01-09,Belenenses,Gil Vicente,0,1,A,0,1,A,1.9,3.0,3.75,1.75,3.4,4.05,1.9,3.15,3.75,1.85,3.1,3.6,,,,1.83,3.2,3.75,1.9,3.1,3.6,1.83,1.83,1.9,1.71,-0.5,1.925,1.925,-0.5,,,
P1,2005-01-09,Leiria,Maritimo,0,0,D,0,0,D,2.0,3.0,3.4,2.1,3.25,3.05,2.05,2.95,3.5,2.1,2.8,3.3,2.0,3.0,3.4,2.05,2.9,3.4,2.0,3.1,3.3,2.1,1.6,2.05,1.6,-0.5,1.8,2.05,-0.25,,,
P1,2005-01-09,Moreirense,Academica,1,0,H,1,0,H,2.0,3.0,3.4,1.9,3.3,3.55,1.95,3.0,3.75,1.85,3.1,3.6,,,,2.0,3.0,3.4,2.0,3.1,3.3,1.9,1.75,1.95,1.67,-0.5,1.925,1.925,-0.5,,,
P1,2005-01-09,Penafiel,Nacional,0,1,A,0,0,D,1.9,3.0,3.75,1.9,3.15,3.75,1.95,3.1,3.6,2.0,3.1,3.2,,,,1.91,3.1,3.6,1.8,3.1,4.0,1.83,1.83,1.95,1.67,-0.5,2.15,1.7,-0.5,,,
P1,2005-01-09,Porto,Rio Ave,1,1,D,0,1,A,1.3,4.33,8.0,1.4,4.0,6.75,1.35,4.2,7.5,1.4,3.7,6.5,1.3,4.0,9.0,1.3,4.33,8.0,1.36,3.75,8.0,1.83,1.83,1.35,2.69,-0.5,2.1,1.75,-1.5,,,
P1,2005-01-15,Academica,Porto,0,0,D,0,0,D,5.5,3.4,1.53,5.3,3.6,1.55,5.5,3.5,1.55,4.6,3.4,1.6,5.5,3.4,1.533,5.5,3.4,1.53,5.0,3.5,1.57,2.0,1.65,2.14,1.55,0.5,1.8,2.05,1.0,,,
P1,2005-01-15,Guimaraes,Beira Mar,1,0,H,0,0,D,1.72,3.2,4.33,1.75,3.4,4.05,1.71,3.4,4.3,1.7,3.2,4.2,1.727,3.4,4.0,1.7,3.4,4.2,1.72,3.25,4.2,1.9,1.75,1.71,1.9,-0.5,2.05,1.8,-0.75,,,
P1,2005-01-16,Benfica,Boavista,4,0,H,1,0,H,1.83,3.0,4.0,1.7,3.45,4.3,1.71,3.4,4.3,1.85,3.1,3.6,1.615,3.5,4.5,1.73,3.4,4.0,1.61,3.3,5.0,1.85,1.79,1.71,1.9,-0.5,1.8,2.05,-0.5,,,
P1,2005-01-16,Gil Vicente,Penafiel,0,1,A,0,0,D,1.8,3.1,4.0,1.8,3.4,3.8,1.8,3.25,4.0,1.75,3.2,4.0,1.8,3.2,4.0,1.75,3.3,4.0,1.72,3.25,4.2,1.85,1.79,1.8,1.79,-0.5,1.8,2.05,-0.5,,,
P1,2005-01-16,Maritimo,Estoril,2,1,H,1,0,H,1.72,3.1,4.5,1.7,3.45,4.3,1.71,3.4,4.3,1.65,3.2,4.6,1.615,3.25,5.0,1.62,3.4,4.75,1.66,3.3,4.5,1.95,1.71,1.71,1.9,-0.5,1.75,2.1,-0.75,,,
P1,2005-01-16,Nacional,Sp Lisbon,3,2,H,2,0,H,3.75,3.25,1.8,3.8,3.4,1.8,4.0,3.25,1.8,3.8,3.1,1.8,4.0,3.2,1.8,3.75,3.3,1.8,3.75,3.2,1.83,1.83,1.83,1.79,1.8,0.5,1.925,1.925,0.5,,,
P1,2005-01-16,Rio Ave,Leiria,2,0,H,1,0,H,2.2,3.2,2.8,2.0,3.25,3.3,2.2,3.2,2.9,2.1,3.0,3.1,2.1,3.0,3.2,2.1,3.0,3.2,2.05,3.1,3.2,2.0,1.65,2.2,1.52,-0.5,1.85,2.0,-0.25,,,
P1,2005-01-16,Sp Braga,Moreirense,0,0,D,0,0,D,1.5,3.4,6.0,1.5,3.65,5.8,1.5,3.6,6.0,1.5,3.7,5.0,1.444,3.6,6.5,1.5,3.6,5.5,1.53,3.5,5.5,1.83,1.83,1.5,2.25,-0.5,1.975,1.875,-1.0,,,
P1,2005-01-17,Setubal,Belenenses,1,2,A,0,0,D,1.72,3.1,4.5,1.7,3.45,4.3,1.71,3.4,4.3,1.75,3.2,4.0,1.727,3.4,4.0,1.73,3.25,4.2,1.8,3.1,4.0,1.95,1.71,1.71,1.9,-0.5,2.1,1.75,-0.75,,,
P1,2005-01-21,Sp Braga,Academica,2,0,H,1,0,H,1.4,3.75,7.0,1.4,4.0,6.75,1.4,3.85,7.3,1.4,3.9,6.0,1.4,3.75,7.0,1.4,3.75,7.0,1.44,3.6,6.5,1.95,1.71,1.4,2.52,-0.5,2.1,1.75,-1.25,,,
P1,2005-01-22,Benfica,Beira Mar,0,2,A,0,1,A,1.22,5.0,9.0,1.25,5.0,9.0,1.25,5.0,9.0,1.27,4.3,8.5,1.25,5.0,8.0,1.25,5.0,8.0,1.22,5.0,9.5,1.65,2.0,1.25,3.21,-0.5,1.975,1.875,-1.5,,,
P1,2005-01-22,Guimaraes,Moreirense,0,0,D,0,0,D,1.66,3.4,4.33,1.7,3.45,4.3,1.7,3.4,4.35,1.65,3.3,4.4,1.66,3.4,4.33,1.7,3.4,4.2,1.7,3.3,4.2,1.9,1.75,1.7,1.91,-0.5,1.975,1.875,-0.75,,,
