Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43
T1,2004-08-06,Rizespor,Fenerbahce,2,2,D,0,2,A,6.0,3.4,1.5,6.0,3.6,1.5,6.0,3.6,1.5,5.4,3.8,1.45,5.5,3.6,1.53,5.5,3.4,1.57,6.0,3.4,1.5,1.65,2.0,2.25,1.5,0.5,,,,,,,,
T1,2004-08-07,Denizlispor,Gaziantepspor,2,1,H,1,0,H,2.2,3.25,2.75,2.1,3.3,3.0,2.2,3.2,2.9,2.0,3.1,3.2,2.1,3.25,3.0,2.25,3.2,2.8,2.1,3.2,3.0,1.71,1.95,2.2,1.52,-0.5,,,,,,,,
T1,2004-08-07,Genclerbirligi,Sakaryaspor,1,0,H,1,0,H,1.5,3.4,6.0,1.45,3.7,6.5,1.45,3.7,6.6,1.45,3.8,5.4,1.53,3.6,5.5,1.5,3.5,6.0,1.4,3.75,7.0,1.6,2.1,1.45,2.37,-0.5,,,,,,,,
T1,2004-08-07,Kayserispor,Trabzonspor,0,3,A,0,1,A,4.33,3.4,1.66,5.0,3.5,1.6,4.2,3.5,1.7,4.4,3.3,1.65,4.33,3.6,1.67,4.5,3.4,1.67,4.4,3.4,1.65,1.6,2.1,1.91,1.7,0.5,,,,,,,,
T1,2004-08-07,Malatyaspor,Besiktas,1,1,D,1,0,H,3.2,3.2,2.0,3.3,3.2,2.0,3.1,3.2,2.1,3.5,3.1,1.9,3.5,3.25,1.91,3.5,3.25,1.91,2.8,3.2,2.2,1.65,2.0,1.57,2.1,0.5,,,,,,,,
T1,2004-08-08,A. Sebatspor,Ankaraspor,1,3,A,0,1,A,2.2,3.25,2.75,2.2,3.35,2.75,2.25,3.2,2.85,2.2,3.0,3.9,2.2,3.25,2.8,2.25,3.25,2.75,2.0,3.2,3.2,1.71,1.95,2.25,1.51,-0.5,,,,,,,,
T1,2004-08-08,Galatasaray,Konyaspor,3,1,H,2,1,H,1.36,4.0,7.0,1.35,4.1,7.75,1.35,4.0,8.3,1.4,3.9,6.0,1.33,4.33,7.5,1.36,4.0,7.5,1.4,3.75,7.0,1.55,2.2,1.35,2.7,-0.5,,,,,,,,
T1,2004-08-08,Istanbulspor,Diyarbakirspor,1,1,D,0,0,D,2.2,3.25,2.75,2.25,3.15,2.8,2.25,3.2,2.85,2.2,3.0,2.9,2.2,3.25,2.8,2.2,3.2,2.88,2.2,3.1,2.85,1.71,1.95,2.25,1.51,-0.5,,,,,,,,
T1,2004-08-08,Samsunspor,Ankaragucu,1,1,D,0,1,A,1.83,3.25,3.6,2.0,3.3,3.2,2.0,3.2,3.35,1.8,3.3,3.6,2.0,3.25,3.25,2.0,3.25,3.25,2.1,3.2,3.0,1.6,2.1,2.0,1.64,-0.5,,,,,,,,
T1,2004-08-13,Gaziantepspor,Galatasaray,1,0,H,0,0,D,3.0,3.2,2.1,3.35,3.3,1.95,2.95,3.25,2.1,3.1,3.0,2.1,3.0,3.2,2.1,2.8,3.25,2.2,2.62,3.2,2.3,1.65,2.0,1.55,2.1,-0.5,,,,,,,,
T1,2004-08-14,Ankaragucu,Istanbulspor,0,0,D,0,0,D,1.72,3.4,4.0,1.85,3.3,3.7,1.7,3.25,4.4,1.85,3.2,3.5,1.8,3.4,3.6,1.8,3.25,4.0,1.75,3.3,4.0,1.65,2.0,1.7,1.87,-0.5,,,,,,,,
T1,2004-08-14,Ankaraspor,Malatyaspor,1,3,A,1,2,A,2.25,3.2,2.75,2.3,3.35,2.6,2.25,3.25,2.7,2.2,3.0,2.9,2.25,3.2,2.75,2.3,3.2,2.7,2.15,3.25,2.85,1.65,2.0,2.25,1.47,-0.5,,,,,,,,
T1,2004-08-14,Diyarbakirspor,Kayserispor,2,1,H,1,0,H,1.72,3.4,4.0,1.75,3.15,4.45,1.75,3.1,4.35,1.7,3.3,4.0,1.67,3.6,4.0,1.75,3.4,4.0,1.55,3.6,5.0,1.6,2.1,1.75,1.81,-0.5,,,,,,,,
T1,2004-08-14,Fenerbahce,Samsunspor,2,1,H,0,0,D,1.2,5.0,11.0,1.3,4.5,8.25,1.25,5.0,8.0,1.3,4.2,8.0,1.3,4.33,8.0,1.29,4.75,8.0,1.25,4.5,10.0,1.55,2.2,1.25,3.08,-0.5,,,,,,,,
T1,2004-08-15,Genclerbirligi,Besiktas,1,1,D,0,0,D,3.0,3.2,2.1,2.95,3.4,2.1,3.0,3.0,2.2,2.9,3.0,2.2,2.75,3.25,2.2,3.0,3.25,2.1,3.75,3.3,1.8,1.55,2.2,1.5,2.2,0.5,,,,,,,,
T1,2004-08-15,Konyaspor,Rizespor,0,0,D,0,0,D,1.9,3.2,3.5,2.0,3.0,3.6,1.95,3.15,3.4,1.85,3.2,3.5,1.91,3.25,3.4,2.0,3.25,3.25,1.95,3.25,3.3,1.65,2.0,1.95,1.64,-0.5,,,,,,,,
T1,2004-08-15,Sakaryaspor,Denizlispor,1,2,A,1,1,D,2.6,3.2,2.37,2.75,3.4,2.2,2.6,3.2,2.35,2.8,3.1,2.2,2.5,3.25,2.4,2.75,3.25,2.25,2.65,3.2,2.3,1.71,1.95,1.43,2.35,0.5,,,,,,,,
T1,2004-08-15,Trabzonspor,A. Sebatspor,3,1,H,1,0,H,1.22,5.0,9.0,1.3,4.5,8.25,1.25,4.85,8.5,1.3,4.2,8.0,1.3,4.33,8.0,1.29,4.5,8.5,1.3,4.3,8.0,1.55,2.2,1.25,3.09,-0.5,,,,,,,,
T1,2004-08-21,Denizlispor,Besiktas,3,1,H,1,0,H,3.0,3.25,2.1,3.1,3.2,2.1,3.25,3.25,2.0,2.9,3.0,2.2,3.0,3.2,2.1,3.25,3.25,2.0,3.0,3.2,2.1,1.65,2.0,1.63,2.0,0.5,,,,,,,,
T1,2004-08-21,Genclerbirligi,Ankaraspor,1,1,D,0,1,A,1.615,3.5,4.5,1.55,3.5,5.5,1.6,3.55,4.6,1.6,3.4,4.6,1.62,3.4,5.0,1.57,3.4,5.5,1.7,3.4,4.15,1.65,2.0,1.6,2.0,-0.5,,,,,,,,
T1,2004-08-21,Istanbulspor,Fenerbahce,0,3,A,0,0,D,6.0,3.75,1.444,6.75,3.65,1.45,6.0,3.55,1.48,4.8,3.5,1.55,5.0,3.6,1.57,6.0,3.5,1.5,6.5,3.6,1.44,1.55,2.2,2.23,1.48,0.5,,,,,,,,
T1,2004-08-21,Malatyaspor,Trabzonspor,3,4,A,1,2,A,3.25,3.25,2.0,3.55,3.3,1.9,3.0,3.3,2.05,2.9,3.0,2.2,3.0,3.2,2.1,3.25,3.25,2.0,3.0,3.2,2.1,1.6,2.1,1.57,2.05,0.5,,,,,,,,
T1,2004-08-21,Samsunspor,Konyaspor,1,1,D,1,0,H,1.833,3.25,3.75,1.9,3.4,3.4,1.8,3.3,3.8,1.8,3.1,3.8,1.83,3.4,3.6,1.85,3.25,3.75,1.8,3.3,3.75,1.65,2.0,1.8,1.77,-0.5,,,,,,,,
T1,2004-08-22,A. Sebatspor,Diyarbakirspor,2,2,D,2,2,D,2.25,3.25,2.75,2.4,3.3,2.55,2.35,3.2,2.6,2.5,3.0,2.5,2.25,3.2,2.75,2.38,3.2,2.62,2.5,3.25,2.4,1.71,1.95,2.35,1.43,-0.5,,,,,,,,
T1,2004-08-22,Galatasaray,Rizespor,2,1,H,2,1,H,1.25,5.0,8.5,1.3,4.5,8.25,1.3,4.75,7.0,1.3,4.2,8.0,1.29,4.33,9.0,1.3,4.33,8.5,1.33,4.0,8.0,1.55,2.2,1.87,1.62,-1.5,,,,,,,,
T1,2004-08-22,Gaziantepspor,Sakaryaspor,1,0,H,0,0,D,1.4,3.75,7.0,1.55,3.5,5.5,1.45,3.6,6.5,1.5,3.7,5.0,1.4,3.75,7.0,1.44,3.6,7.0,1.4,3.75,7.0,1.6,2.1,2.25,1.42,-1.5,,,,,,,,
T1,2004-08-22,Kayserispor,Ankaragucu,1,1,D,1,0,H,2.4,3.4,2.4,2.6,3.3,2.35,2.35,3.25,2.55,2.3,3.0,2.7,2.4,3.2,2.6,2.5,3.2,2.5,2.55,3.25,2.35,1.71,1.95,2.35,1.43,-0.5,,,,,,,,
T1,2004-08-28,Ankaraspor,Denizlispor,3,2,H,1,1,D,2.75,3.2,2.2,3.0,3.3,2.1,2.9,3.2,2.15,2.7,3.0,2.3,2.75,3.2,2.2,2.75,3.25,2.25,2.9,3.15,2.15,1.65,2.0,1.52,2.15,0.5,,,,,,,,
T1,2004-08-28,Kayserispor,Fenerbahce,0,2,A,0,1,A,7.0,3.75,1.4,8.25,4.5,1.3,6.2,3.7,1.45,6.0,3.9,1.4,5.0,3.75,1.53,6.0,3.6,1.5,7.0,3.75,1.4,1.55,2.2,2.32,1.45,0.5,,,,,,,,
T1,2004-08-28,Konyaspor,Istanbulspor,2,1,H,0,0,D,1.83,3.2,3.75,1.85,3.4,3.6,1.83,3.25,3.7,1.9,3.1,3.5,2.0,3.4,3.0,1.91,3.25,3.5,1.85,3.3,3.6,1.65,2.0,1.83,1.73,-0.5,,,,,,,,
T1,2004-08-28,Rizespor,Samsunspor,2,0,H,2,0,H,2.0,3.2,3.2,2.1,3.3,3.0,2.1,3.3,2.9,2.1,3.0,3.1,2.1,3.4,2.8,2.1,3.25,3.0,2.1,3.2,3.0,1.65,2.0,2.1,1.54,-0.5,,,,,,,,
T1,2004-08-28,Sakaryaspor,Galatasaray,1,2,A,1,1,D,5.0,3.5,1.57,6.0,3.6,1.5,5.5,3.5,1.52,4.8,3.5,1.55,6.0,3.75,1.44,5.5,3.6,1.53,5.0,3.5,1.57,1.65,2.0,2.14,1.52,0.5,,,,,,,,
T1,2004-08-29,Ankaragucu,A. Sebatspor,2,1,H,1,1,D,1.66,3.4,4.33,1.7,3.4,4.3,1.65,3.4,4.5,1.65,3.3,4.4,1.73,3.6,3.75,1.67,3.4,4.5,1.65,3.4,4.5,1.65,2.0,1.65,1.94,-0.5,,,,,,,,
T1,2004-08-29,Besiktas,Gaziantepspor,3,4,A,0,2,A,1.66,3.4,4.33,1.6,3.5,5.0,1.6,3.45,4.75,1.6,3.4,4.6,1.57,3.75,4.5,1.67,3.4,4.5,1.6,3.4,4.8,1.6,2.1,1.6,2.0,-0.5,,,,,,,,
T1,2004-08-29,Diyarbakirspor,Malatyaspor,1,2,A,0,1,A,2.37,3.1,2.62,2.3,3.4,2.6,2.4,3.25,2.5,2.3,3.0,2.7,2.4,3.2,2.5,2.5,3.2,2.5,2.4,3.25,2.5,1.6,2.1,2.4,1.41,-0.5,,,,,,,,
T1,2004-08-29,Trabzonspor,Genclerbirligi,3,1,H,2,0,H,1.66,3.4,4.33,1.65,3.4,4.75,1.52,3.5,5.5,1.65,3.3,4.4,1.53,3.75,5.0,1.57,3.6,5.0,1.65,3.25,4.7,1.6,2.1,1.52,2.14,-0.5,,,,,,,,
T1,2004-09-11,A. Sebatspor,Fenerbahce,1,4,A,0,1,A,7.0,3.75,1.4,6.7,4.0,1.4,5.8,3.85,1.45,6.0,3.9,1.4,7.0,3.75,1.4,6.5,3.75,1.44,7.0,3.75,1.4,1.6,2.1,1.85,1.9,1.25,,,,,,,,
T1,2004-09-11,Denizlispor,Trabzonspor,0,2,A,0,0,D,2.625,3.2,2.375,3.0,3.3,2.1,2.65,3.1,2.38,2.5,3.0,2.5,2.75,3.25,2.2,2.62,3.2,2.37,2.5,3.25,2.4,1.71,1.95,1.8,1.95,0.25,,,,,,,,
T1,2004-09-11,Gaziantepspor,Ankaraspor,2,1,H,0,0,D,1.571,3.5,5.0,1.65,3.5,4.5,1.6,3.55,4.6,1.7,3.2,4.2,1.571,3.75,4.5,1.57,3.6,5.0,1.6,3.4,4.8,1.6,2.1,1.8,1.95,-0.75,,,,,,,,
T1,2004-09-11,Genclerbirligi,Diyarbakirspor,2,0,H,0,0,D,1.727,3.2,4.333,1.85,3.4,3.6,1.75,3.3,4.0,1.8,3.1,3.8,1.727,3.6,3.75,1.72,3.5,4.0,1.75,3.3,4.0,1.65,2.0,1.75,1.81,-0.5,,,,,,,,
T1,2004-09-12,Galatasaray,Samsunspor,3,1,H,0,1,A,1.25,5.0,8.0,1.25,5.0,9.0,1.3,4.2,8.5,1.35,4.0,7.0,1.25,5.0,9.0,1.33,4.2,8.0,1.3,4.33,8.0,1.5,2.3,1.8,1.95,-1.5,,,,,,,,
T1,2004-09-12,Istanbulspor,Rizespor,0,3,A,0,0,D,2.1,3.0,3.2,2.35,3.3,2.6,2.1,3.2,3.0,2.0,3.2,3.1,2.1,3.4,2.8,2.2,3.2,2.87,2.0,3.3,3.1,1.65,2.0,1.8,1.95,-0.25,,,,,,,,
T1,2004-09-12,Kayserispor,Konyaspor,2,2,D,1,0,H,2.2,3.2,2.8,2.1,3.3,3.0,2.15,3.2,2.9,2.2,3.0,2.9,2.2,3.25,2.75,2.25,3.2,2.8,2.15,3.3,2.8,1.6,2.1,1.95,1.8,-0.25,,,,,,,,
T1,2004-09-12,Malatyaspor,Ankaragucu,1,0,H,0,0,D,1.833,3.4,3.5,1.75,3.5,4.0,1.75,3.4,3.85,1.8,3.1,3.8,1.8,3.4,3.6,1.75,3.4,4.0,1.8,3.4,3.6,1.65,2.0,1.75,1.81,-0.5,,,,,,,,
T1,2004-09-12,Sakaryaspor,Besiktas,1,4,A,0,1,A,5.0,3.5,1.571,6.0,3.9,1.45,4.6,3.55,1.6,4.4,3.3,1.65,5.5,3.75,1.5,5.5,3.6,1.53,5.5,3.5,1.53,1.55,2.2,1.95,1.8,0.75,,,,,,,,
T1,2004-09-17,Diyarbakirspor,Denizlispor,0,1,A,0,0,D,2.5,3.2,2.5,2.65,3.15,2.4,2.6,3.1,2.4,2.5,3.0,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.65,3.2,2.3,1.65,2.0,1.9,1.8,0.0,,,,,,,,
T1,2004-09-18,Ankaraspor,Sakaryaspor,1,1,D,1,0,H,1.57,3.5,5.0,1.55,3.5,5.5,1.6,3.5,4.7,1.6,3.4,4.6,1.57,3.75,4.5,1.62,3.5,4.75,1.6,3.4,4.8,1.6,2.1,1.9,1.8,-1.0,,,,,,,,
T1,2004-09-18,Fenerbahce,Malatyaspor,3,1,H,1,1,D,1.36,4.0,7.5,1.3,4.5,8.25,1.3,4.5,7.5,1.33,4.0,7.5,1.3,4.5,7.5,1.36,4.0,7.5,1.33,4.2,7.5,1.6,2.1,1.3,2.81,-0.5,,,,,,,,
T1,2004-09-18,Konyaspor,A. Sebatspor,3,3,D,1,2,A,1.66,3.4,4.33,1.55,3.5,5.5,1.65,3.4,4.5,1.6,3.4,4.6,1.67,3.6,4.0,1.73,3.4,4.2,1.65,3.4,4.5,1.65,2.0,1.8,1.9,-0.75,,,,,,,,
T1,2004-09-18,Samsunspor,Istanbulspor,2,1,H,1,0,H,1.72,3.5,4.0,1.65,3.4,4.7,1.65,3.4,4.5,1.85,3.1,3.6,1.67,3.6,4.0,1.67,3.4,4.5,1.75,3.4,3.85,1.65,2.0,1.65,1.94,-0.5,,,,,,,,
T1,2004-09-19,Ankaragucu,Genclerbirligi,1,0,H,1,0,H,2.25,3.2,2.75,2.3,3.2,2.75,2.45,3.1,2.55,2.5,3.0,2.5,2.5,3.25,2.4,2.3,3.2,2.75,2.65,3.2,2.3,1.75,1.9,1.8,1.9,0.0,,,,,,,,
T1,2004-09-19,Besiktas,Galatasaray,0,0,D,0,0,D,2.25,3.0,2.87,2.1,3.2,3.1,2.15,3.2,2.9,2.3,3.0,2.7,2.2,3.25,2.88,2.2,3.2,2.88,2.2,3.0,3.0,1.79,1.85,1.8,1.9,-0.25,,,,,,,,
T1,2004-09-19,Rizespor,Kayserispor,2,1,H,1,1,D,1.66,3.4,4.33,1.5,3.6,6.0,1.6,3.5,4.7,1.6,3.4,4.6,1.67,3.6,4.0,1.67,3.4,4.5,1.6,3.4,4.8,1.65,2.0,1.9,1.8,-1.0,,,,,,,,
T1,2004-09-19,Trabzonspor,Gaziantepspor,0,0,D,0,0,D,1.57,3.5,5.0,1.65,3.5,4.5,1.65,3.4,4.5,1.5,3.7,5.0,1.67,3.6,4.0,1.67,3.4,4.5,1.65,3.4,4.5,1.6,2.1,1.8,1.9,-0.75,,,,,,,,
T1,2004-09-24,Genclerbirligi,Fenerbahce,1,2,A,0,0,D,3.6,3.4,1.8,4.5,3.5,1.65,3.8,3.4,1.77,3.2,3.1,2.0,3.5,3.4,1.83,3.8,3.2,1.83,4.2,3.4,1.7,1.6,2.1,1.79,1.77,0.5,,,,,,,,
T1,2004-09-25,A. Sebatspor,Rizespor,0,0,D,0,0,D,2.5,3.1,2.5,2.75,3.4,2.2,2.5,3.2,2.45,2.5,3.0,2.5,2.6,3.25,2.38,2.5,3.2,2.5,2.65,3.2,2.3,1.71,1.95,1.85,1.85,0.0,,,,,,,,
T1,2004-09-25,Besiktas,Ankaraspor,2,3,A,0,1,A,1.33,4.33,7.0,1.3,4.3,8.5,1.3,4.3,8.0,1.3,4.2,8.0,1.3,4.33,8.0,1.3,4.5,8.0,1.36,4.0,7.0,1.5,2.3,1.85,1.85,-1.5,,,,,,,,
T1,2004-09-25,Kayserispor,Samsunspor,1,4,A,0,1,A,2.37,3.2,2.6,2.4,3.4,2.5,2.3,3.2,2.65,2.3,3.0,2.7,2.38,3.25,2.6,2.38,3.1,2.7,2.35,3.2,2.6,1.65,2.0,2.0,1.73,-0.25,,,,,,,,
T1,2004-09-25,Sakaryaspor,Trabzonspor,1,3,A,1,1,D,7.0,3.75,1.4,8.25,4.5,1.3,7.0,3.6,1.42,5.4,3.8,1.45,7.0,3.75,1.4,7.5,3.75,1.4,6.4,3.85,1.4,1.5,2.3,1.8,1.9,1.25,,,,,,,,
T1,2004-09-26,Denizlispor,Ankaragucu,2,0,H,0,0,D,1.72,3.2,4.33,1.8,3.35,3.85,1.7,3.3,4.3,1.75,3.2,4.0,1.73,3.4,4.0,1.75,3.25,4.2,1.7,3.4,4.1,1.65,2.0,1.7,1.87,-0.5,,,,,,,,
T1,2004-09-26,Galatasaray,Istanbulspor,4,1,H,1,0,H,1.2,5.0,11.0,1.15,6.5,11.5,1.25,5.0,8.5,1.3,4.2,8.0,1.25,5.0,8.0,1.22,5.0,10.0,1.25,5.0,8.0,1.45,2.45,1.85,1.85,-1.75,,,,,,,,
T1,2004-09-26,Gaziantepspor,Diyarbakirspor,1,1,D,0,0,D,1.5,3.6,5.5,1.5,3.6,6.0,1.45,3.45,7.0,1.45,3.8,5.4,1.5,3.75,5.5,1.5,3.6,6.0,1.45,3.75,6.0,1.6,2.1,1.8,1.9,-1.0,,,,,,,,
T1,2004-09-26,Malatyaspor,Konyaspor,5,0,H,4,0,H,1.61,3.6,4.33,1.45,3.9,6.0,1.53,3.5,5.5,1.7,3.2,4.2,1.57,3.5,5.0,1.62,3.4,5.0,,,,1.6,2.1,1.9,1.8,-1.0,,,,,,,,
T1,2004-10-01,Ankaraspor,Galatasaray,0,2,A,0,1,A,4.5,3.5,1.61,4.5,3.5,1.65,4.25,3.3,1.7,4.0,3.2,1.75,3.75,3.6,1.73,4.5,3.4,1.67,4.5,3.3,1.66,1.65,2.0,1.95,1.8,0.75,,,,,,,,
T1,2004-10-02,Ankaragucu,Gaziantepspor,2,1,H,1,1,D,2.6,3.2,2.4,2.55,3.2,2.45,2.5,3.1,2.5,2.5,3.0,2.5,2.5,3.25,2.4,2.6,3.2,2.4,2.5,3.1,2.5,1.65,2.0,1.85,1.87,0.0,,,,,,,,
T1,2004-10-02,Diyarbakirspor,Sakaryaspor,1,0,H,0,0,D,1.53,3.5,5.5,1.55,3.5,5.5,1.55,3.35,5.55,1.65,3.3,4.4,1.5,3.75,5.5,1.57,3.4,5.5,1.55,3.6,5.0,1.65,2.0,1.85,1.9,-0.75,,,,,,,,
T1,2004-10-02,Fenerbahce,Denizlispor,2,0,H,0,0,D,1.36,4.0,7.0,1.35,4.2,7.5,1.31,4.3,8.0,1.4,3.9,6.0,1.36,4.0,7.5,1.36,4.0,7.5,1.33,4.2,7.5,1.6,2.1,1.31,2.8,-0.5,,,,,,,,
T1,2004-10-02,Rizespor,Malatyaspor,0,1,A,0,1,A,2.2,3.2,2.8,2.25,3.3,2.75,2.2,3.2,2.8,2.2,3.0,2.9,2.38,3.25,2.6,2.2,3.2,2.88,2.1,3.25,2.9,1.65,2.0,1.95,1.8,-0.25,,,,,,,,
T1,2004-10-03,Istanbulspor,Kayserispor,2,0,H,0,0,D,2.1,3.25,3.0,2.0,3.45,3.1,2.0,3.3,3.1,1.9,3.3,3.3,2.0,3.4,3.0,2.05,3.25,3.1,2.0,3.3,3.1,1.65,2.0,2.0,1.6,-0.5,,,,,,,,
T1,2004-10-03,Konyaspor,Genclerbirligi,3,2,H,1,1,D,2.4,3.2,2.6,2.5,3.4,2.4,2.5,3.1,2.5,2.3,3.1,2.6,2.4,3.25,2.5,2.5,3.2,2.5,2.55,3.15,2.4,1.65,2.0,1.87,1.89,0.0,,,,,,,,
T1,2004-10-03,Samsunspor,A. Sebatspor,3,0,H,1,0,H,1.66,3.4,4.33,1.65,3.5,4.5,1.65,3.3,4.65,1.65,3.3,4.4,1.57,3.6,5.0,1.67,3.4,4.5,1.65,3.3,4.7,1.65,2.0,1.87,1.85,-0.75,,,,,,,,
T1,2004-10-03,Trabzonspor,Besiktas,1,0,H,1,0,H,2.0,3.2,3.2,1.9,3.35,3.5,1.95,3.25,3.3,1.85,3.2,3.5,1.83,3.4,3.5,1.91,3.25,3.5,2.1,3.2,3.0,1.65,2.0,1.95,1.64,-0.5,,,,,,,,
T1,2004-10-16,Besiktas,Diyarbakirspor,4,0,H,2,0,H,1.5,3.4,6.0,1.4,4.0,6.75,1.43,3.6,6.65,1.5,3.7,5.0,1.57,3.6,5.0,1.44,3.75,6.5,1.5,3.4,6.0,1.65,2.0,2.07,1.46,-1.5,,,,,,,,
T1,2004-10-16,Gaziantepspor,Fenerbahce,0,1,A,0,0,D,3.5,3.2,1.9,4.0,3.45,1.75,3.5,3.2,1.9,3.2,3.1,2.0,3.6,3.4,1.8,3.5,3.25,1.91,3.5,3.2,1.9,1.65,2.0,1.67,1.9,0.5,,,,,,,,
