,WHD,IWH,LBA,SBH,SBA,BWD,WHA,B365A,LBH,GBA,B365D,B365H,WHH,BWA,BWH,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
150,5.0,1.2,11.0,1.17,13.0,6.0,9.5,11.0,1.2,12.0,5.5,1.16,1.22,13.0,1.15,10.0,3.89,1.16,5.5,,-0.5,,5.0,5.0,5.75,1.16,Besiktas,A. Sebatspor,Besiktas_A. Sebatspor_2004
151,3.15,1.9,3.25,2.0,3.3,3.35,3.4,3.2,2.0,3.2,3.2,2.0,1.95,3.45,1.9,3.4,1.6,2.0,3.2,1.71,-0.5,1.95,3.2,3.25,3.2,2.0,Diyarbakirspor,Samsunspor,Diyarbakirspor_Samsunspor_2004
152,3.2,2.7,2.1,2.88,2.25,3.3,2.05,2.2,3.0,2.15,3.2,2.8,3.05,2.1,3.0,2.3,2.15,2.9,3.1,1.6,0.5,2.1,3.0,3.2,3.2,1.52,Sakaryaspor,Malatyaspor,Sakaryaspor_Malatyaspor_2004
153,3.4,4.6,1.615,5.0,1.615,3.45,1.65,1.57,4.5,1.65,3.5,5.0,4.6,1.6,5.1,1.6,,4.6,3.4,,,,3.4,3.6,3.4,,Konyaspor,Galatasaray,Konyaspor_Galatasaray_2004
154,3.55,1.55,6.5,,,3.9,6.55,5.5,1.444,6.55,3.6,1.5,1.45,7.0,1.4,4.8,,1.45,,,,,3.5,3.75,3.55,,Ankaraspor,A. Sebatspor,Ankaraspor_A. Sebatspor_2004
155,3.65,1.45,5.5,1.5,6.0,3.5,5.8,6.0,1.5,5.8,3.75,1.44,1.47,5.5,1.55,5.4,,1.47,3.6,,,,3.8,3.75,3.65,,Besiktas,Malatyaspor,Besiktas_Malatyaspor_2004
156,3.2,1.75,4.5,1.667,4.75,3.3,4.3,6.5,1.615,4.3,3.39,1.5,1.73,4.5,1.7,4.0,,1.73,3.25,,,,3.2,3.5,3.2,,Diyarbakirspor,Istanbulspor,Diyarbakirspor_Istanbulspor_2004
157,3.25,2.4,2.4,2.6,2.4,3.5,2.45,2.37,2.5,2.45,3.2,2.62,2.45,2.5,2.35,2.5,,2.45,3.2,,,,3.1,3.25,3.25,,Sakaryaspor,Genclerbirligi,Sakaryaspor_Genclerbirligi_2004
158,3.2,2.0,3.6,1.8,4.0,3.2,3.2,3.39,1.8,3.2,3.39,1.9,2.0,3.35,2.0,3.1,,2.0,3.25,,,,3.2,3.4,3.2,,Ankaragucu,Samsunspor,Ankaragucu_Samsunspor_2004
159,5.0,1.25,10.0,1.25,9.0,4.75,9.0,13.0,1.2,9.0,5.5,1.16,1.23,9.6,1.25,9.0,,1.23,5.0,,,,4.5,5.5,5.0,,Fenerbahce,Rizespor,Fenerbahce_Rizespor_2004
160,3.2,2.2,2.8,2.25,2.875,3.2,2.8,2.79,2.2,2.8,3.2,2.2,2.2,3.0,2.15,2.8,,2.2,3.1,,,,3.1,3.2,3.2,,Gaziantepspor,Denizlispor,Gaziantepspor_Denizlispor_2004
161,5.0,1.22,10.0,1.2,10.0,5.5,11.0,9.0,1.2,11.0,5.5,1.19,1.2,10.5,1.2,9.5,,1.2,5.5,,,,4.8,5.5,5.0,,Trabzonspor,Kayserispor,Trabzonspor_Kayserispor_2004
162,5.5,1.27,9.0,1.25,8.5,5.5,9.0,10.0,1.25,9.8,4.5,1.25,1.2,10.5,1.2,8.5,1.74,1.25,5.0,1.55,-1.5,2.2,4.3,5.0,4.5,1.69,Galatasaray,Gaziantepspor,Galatasaray_Gaziantepspor_2004
163,3.25,2.45,2.5,2.4,2.6,3.2,2.45,2.5,2.4,2.6,3.2,2.5,2.45,2.45,2.55,2.45,1.41,2.4,3.2,1.65,-0.5,2.0,3.1,3.25,3.1,2.4,Kayserispor,Diyarbakirspor,Kayserispor_Diyarbakirspor_2004
164,3.4,1.85,4.0,1.85,3.75,3.35,3.6,3.75,1.73,3.7,3.0,1.9,1.8,3.45,1.9,3.5,1.72,1.85,3.25,1.65,-0.5,2.0,3.2,3.4,3.2,1.85,Malatyaspor,Ankaraspor,Malatyaspor_Ankaraspor_2004
165,3.4,1.6,5.0,1.57,5.0,3.6,4.8,5.5,1.53,5.0,3.5,1.53,1.6,5.25,1.55,4.6,2.09,1.55,3.6,1.6,-0.5,2.1,3.4,3.75,3.6,1.55,Rizespor,Konyaspor,Rizespor_Konyaspor_2004
166,3.6,5.4,1.5,6.0,1.5,3.6,1.5,1.44,5.5,1.5,3.75,6.5,5.5,1.5,6.0,1.45,1.5,5.5,3.6,1.65,0.5,2.0,3.8,3.75,3.65,2.19,Samsunspor,Fenerbahce,Samsunspor_Fenerbahce_2004
167,4.0,5.4,1.36,7.5,1.4,4.5,1.35,1.36,7.5,1.4,4.0,7.0,7.5,1.3,8.15,1.45,2.0,6.8,3.75,1.55,1.5,2.2,3.8,4.0,3.8,1.5,A. Sebatspor,Trabzonspor,A. Sebatspor_Trabzonspor_2004
168,3.9,1.4,7.5,1.44,6.5,4.2,6.5,7.0,1.36,6.8,3.75,1.4,1.4,7.4,1.35,6.0,1.5,1.4,3.75,1.55,-1.5,2.2,3.9,4.0,3.8,2.0,Denizlispor,Sakaryaspor,Denizlispor_Sakaryaspor_2004
169,3.4,1.7,4.0,1.73,4.2,3.3,4.2,4.0,1.73,4.25,3.4,1.72,1.7,4.5,1.7,4.0,1.86,1.72,3.4,1.65,-0.5,2.0,3.3,3.4,3.3,1.72,Ankaragucu,Kayserispor,Ankaragucu_Kayserispor_2004
170,3.6,1.5,5.5,1.5,6.0,3.6,5.0,5.5,1.5,5.75,3.6,1.5,1.53,6.0,1.5,5.0,2.21,1.5,3.6,1.71,-0.5,1.95,3.7,3.75,3.6,1.5,Besiktas,Denizlispor,Besiktas_Denizlispor_2004
171,3.3,2.1,3.0,2.2,2.88,3.5,2.8,2.75,2.1,3.0,3.2,2.25,2.15,2.7,2.2,3.0,1.56,2.1,3.25,1.65,-0.5,2.0,3.1,3.2,3.25,2.1,Konyaspor,Samsunspor,Konyaspor_Samsunspor_2004
172,3.4,4.0,1.57,4.33,1.7,3.45,1.7,1.66,5.0,1.67,3.4,4.33,4.2,1.65,4.65,1.75,1.67,4.6,3.4,1.75,0.5,1.9,3.2,3.5,3.3,1.92,Rizespor,Galatasaray,Rizespor_Galatasaray_2004
173,3.25,2.2,2.75,2.2,2.88,3.2,2.5,2.75,2.25,2.8,3.25,2.2,2.4,2.8,2.25,2.8,1.5,2.2,3.25,1.71,-0.5,1.95,3.1,3.25,3.25,2.2,Ankaraspor,Genclerbirligi,Ankaraspor_Genclerbirligi_2004
174,4.8,1.35,6.5,1.44,6.5,3.9,6.8,7.0,1.44,6.25,3.75,1.4,1.3,7.0,1.4,6.0,2.32,1.45,3.75,1.6,-0.5,2.1,4.4,3.75,3.7,1.45,Diyarbakirspor,A. Sebatspor,Diyarbakirspor_A. Sebatspor_2004
175,6.5,1.17,13.0,1.14,13.0,7.5,12.0,12.0,1.12,13.0,6.5,1.12,1.12,14.0,1.1,11.0,,1.13,6.0,1.55,,2.2,5.5,6.5,6.5,,Fenerbahce,Istanbulspor,Fenerbahce_Istanbulspor_2004
176,3.3,2.45,2.4,2.4,2.5,3.5,2.5,2.5,2.5,2.42,3.1,2.5,2.35,2.35,2.5,2.45,2.42,2.5,3.3,1.6,0.5,2.1,3.1,3.25,3.25,1.41,Sakaryaspor,Gaziantepspor,Sakaryaspor_Gaziantepspor_2004
177,4.0,1.45,6.5,1.4,6.5,3.85,5.5,6.0,1.44,6.25,3.75,1.44,1.45,6.05,1.45,5.4,2.32,1.45,4.0,1.65,-0.5,2.0,3.8,3.75,3.7,1.45,Trabzonspor,Malatyaspor,Trabzonspor_Malatyaspor_2004
178,3.3,3.5,2.0,3.4,2.0,3.35,1.9,1.9,3.25,1.95,3.25,3.4,3.3,1.85,3.65,1.9,1.95,3.3,3.2,1.71,0.5,1.95,3.1,3.25,3.25,1.64,Gaziantepspor,Besiktas,Gaziantepspor_Besiktas_2004
179,3.25,2.4,2.4,2.62,2.5,3.2,2.2,2.5,2.5,2.45,3.1,2.5,2.75,2.3,2.75,2.5,2.45,2.55,3.1,1.71,0.5,1.95,3.1,3.25,3.1,1.4,A. Sebatspor,Ankaragucu,A. Sebatspor_Ankaragucu_2004
180,3.4,1.55,5.0,1.57,5.5,3.5,4.8,4.5,1.57,4.75,3.5,1.61,1.6,5.5,1.55,4.8,2.02,1.6,3.5,1.71,-0.5,1.95,3.5,3.6,3.5,1.6,Denizlispor,Ankaraspor,Denizlispor_Ankaraspor_2004
181,6.5,1.15,15.0,1.12,15.0,7.5,15.0,12.0,1.1,13.0,6.5,1.12,1.11,14.0,1.1,12.0,4.44,1.11,7.0,1.83,-0.5,1.83,6.0,7.0,6.75,1.11,Galatasaray,Sakaryaspor,Galatasaray_Sakaryaspor_2004
182,3.3,,2.5,2.5,2.6,3.25,2.3,2.62,2.4,2.6,3.1,2.37,2.6,2.6,2.4,,1.43,2.35,3.2,1.65,-0.5,2.0,,3.25,3.2,2.35,Istanbulspor,Konyaspor,Istanbulspor_Konyaspor_2004
183,7.0,1.1,15.0,1.12,13.0,8.5,13.0,13.0,1.1,13.0,7.0,1.1,1.1,15.0,1.08,15.0,4.44,1.11,6.5,1.83,-0.5,1.83,7.0,7.0,6.75,1.11,Fenerbahce,Kayserispor,Fenerbahce_Kayserispor_2004
184,3.3,3.6,1.8,4.0,1.8,3.45,1.75,1.8,3.75,1.8,3.3,3.75,4.0,1.8,3.75,1.85,1.8,3.8,3.25,1.65,0.5,2.0,3.1,3.4,3.25,1.75,Genclerbirligi,Trabzonspor,Genclerbirligi_Trabzonspor_2004
185,3.5,1.7,5.0,1.67,4.75,3.5,4.2,4.33,1.62,4.4,3.4,1.66,1.66,4.5,1.65,4.2,1.92,1.66,3.3,1.65,-0.5,2.0,3.2,3.5,3.4,1.66,Malatyaspor,Diyarbakirspor,Malatyaspor_Diyarbakirspor_2004
186,3.2,2.1,3.0,2.2,3.0,3.3,3.0,2.87,2.1,3.0,3.1,2.2,2.1,3.0,2.1,3.1,1.52,2.15,3.2,1.71,-0.5,1.95,3.0,3.25,3.1,2.15,Samsunspor,Rizespor,Samsunspor_Rizespor_2004
187,3.25,2.4,2.75,2.4,2.7,3.5,2.5,2.62,2.25,2.6,3.1,2.37,2.4,2.5,2.35,2.4,1.41,2.45,3.1,1.79,-0.5,1.85,3.2,3.25,3.1,2.45,Ankaragucu,Malatyaspor,Ankaragucu_Malatyaspor_2004
188,3.4,1.9,3.0,1.95,3.5,3.45,3.25,3.25,2.1,3.05,3.4,1.9,1.9,3.1,2.0,3.5,1.56,2.1,3.25,1.71,-0.5,1.95,3.1,3.2,3.2,2.1,Diyarbakirspor,Genclerbirligi,Diyarbakirspor_Genclerbirligi_2004
189,3.6,1.55,5.5,1.53,5.5,3.6,5.5,5.5,1.53,6.5,3.4,1.53,1.5,6.0,1.5,4.6,2.21,1.5,3.6,1.65,-0.5,2.0,3.6,3.6,3.35,1.5,Rizespor,Istanbulspor,Rizespor_Istanbulspor_2004
190,3.6,5.0,1.5,5.5,1.53,3.6,1.5,1.53,6.0,1.5,3.4,5.5,5.5,1.5,6.0,1.5,1.5,6.5,3.6,1.65,0.5,2.0,3.7,3.5,3.35,2.21,Samsunspor,Galatasaray,Samsunspor_Galatasaray_2004
191,3.3,2.1,3.0,2.2,2.88,3.2,3.0,2.8,2.1,2.95,3.2,2.2,2.05,3.0,2.15,3.1,1.53,2.15,3.2,1.65,-0.5,2.0,3.0,3.2,3.2,2.15,Ankaraspor,Gaziantepspor,Ankaraspor_Gaziantepspor_2004
192,6.5,1.17,13.0,1.17,12.0,6.0,12.0,9.0,1.14,13.0,5.5,1.2,1.12,13.0,1.15,11.0,,1.15,6.0,1.5,,2.3,5.5,6.0,6.0,,Besiktas,Sakaryaspor,Besiktas_Sakaryaspor_2004
193,8.0,1.07,15.0,1.07,21.0,9.5,15.0,15.0,1.08,19.0,7.5,1.08,1.07,18.0,1.05,16.0,,1.08,8.0,1.35,,2.75,8.0,7.5,7.5,,Fenerbahce,A. Sebatspor,Fenerbahce_A. Sebatspor_2004
194,3.75,1.5,5.0,1.53,5.5,3.85,6.0,5.0,1.53,6.5,3.5,1.57,1.45,6.05,1.45,4.8,2.21,1.5,3.6,1.6,-0.5,2.1,3.8,3.75,3.35,1.5,Konyaspor,Kayserispor,Konyaspor_Kayserispor_2004
195,3.9,1.4,6.5,1.4,7.0,3.9,6.5,6.0,1.4,7.25,3.75,1.44,1.4,7.0,1.4,6.0,1.46,1.44,4.0,1.6,-1.5,2.1,3.9,4.0,3.5,2.07,Trabzonspor,Denizlispor,Trabzonspor_Denizlispor_2004
196,3.1,2.0,3.75,1.91,3.5,3.35,3.5,3.75,1.83,3.45,3.2,1.83,1.95,3.45,1.9,3.2,1.15,1.9,3.25,1.83,-1.5,1.83,3.1,3.25,3.25,3.33,Galatasaray,Besiktas,Galatasaray_Besiktas_2004
197,3.1,2.1,2.8,2.2,2.88,3.25,3.1,3.2,2.2,3.1,3.2,2.0,2.1,3.45,1.95,3.1,1.1,2.1,3.2,1.95,-1.5,1.71,3.0,3.25,3.1,3.85,Genclerbirligi,Ankaragucu,Genclerbirligi_Ankaragucu_2004
198,3.2,2.3,2.75,2.3,2.75,3.25,2.5,2.75,2.25,2.8,3.25,2.2,2.45,2.65,2.35,2.6,1.08,2.2,3.2,1.95,-1.5,1.71,3.1,3.25,3.2,4.2,Istanbulspor,Samsunspor,Istanbulspor_Samsunspor_2004
199,3.25,2.2,2.75,2.38,2.7,3.2,2.6,2.75,2.25,2.6,3.2,2.25,2.3,2.9,2.2,2.8,1.44,2.3,3.1,2.1,-0.5,1.6,3.1,3.25,3.25,2.3,Sakaryaspor,Ankaraspor,Sakaryaspor_Ankaraspor_2004
200,3.3,2.6,2.1,2.88,2.2,3.2,2.2,2.2,3.0,2.2,3.25,2.75,2.75,2.2,2.9,2.4,4.2,2.8,3.2,1.95,1.5,1.71,3.0,3.25,3.2,1.08,A. Sebatspor,Konyaspor,A. Sebatspor_Konyaspor_2004
201,3.8,1.5,5.5,1.53,5.5,3.5,5.75,6.0,1.53,5.5,3.4,1.5,1.45,5.5,1.55,5.0,1.39,1.5,3.6,2.0,-1.5,1.65,3.7,3.6,3.6,2.22,Denizlispor,Diyarbakirspor,Denizlispor_Diyarbakirspor_2004
202,3.4,4.6,1.73,4.5,1.7,3.3,1.7,1.61,4.33,1.65,3.5,4.5,4.2,1.7,4.5,1.6,2.55,4.5,3.3,2.1,1.5,1.6,3.4,3.25,3.4,1.29,Gaziantepspor,Trabzonspor,Gaziantepspor_Trabzonspor_2004
203,3.2,2.45,2.75,2.4,2.6,3.2,2.45,2.75,2.25,2.6,3.25,2.2,2.5,2.9,2.2,2.45,1.44,2.3,3.2,1.9,-0.5,1.75,3.1,3.25,3.25,2.3,Kayserispor,Rizespor,Kayserispor_Rizespor_2004
204,3.4,4.6,1.5,5.0,1.62,3.6,1.6,1.53,6.0,1.6,3.4,5.5,4.8,1.5,6.0,1.6,2.47,4.65,3.4,2.0,1.5,1.65,3.4,3.6,3.5,1.31,Malatyaspor,Fenerbahce,Malatyaspor_Fenerbahce_2004
205,4.25,1.45,6.5,1.4,7.0,4.2,6.75,7.0,1.4,7.0,4.0,1.36,1.35,7.4,1.35,5.7,1.54,1.35,4.0,1.75,-0.5,1.9,3.6,4.0,4.0,2.1,Besiktas,Genclerbirligi,Besiktas_Genclerbirligi_2004
206,3.25,2.2,3.0,2.1,3.0,3.2,2.7,2.62,2.1,3.0,3.2,2.3,2.25,2.9,2.2,2.9,2.55,2.1,3.25,1.6,-0.5,2.1,3.0,3.2,3.15,1.35,Istanbulspor,Ankaragucu,Istanbulspor_Ankaragucu_2004
207,3.2,2.2,3.0,2.1,3.0,3.3,3.0,3.1,2.1,2.75,3.1,2.1,2.1,3.0,2.1,2.8,1.6,2.25,3.25,1.71,-0.5,1.95,3.1,3.25,3.15,2.0,Ankaragucu,Denizlispor,Ankaragucu_Denizlispor_2004
208,4.2,6.0,1.4,9.5,1.29,4.2,1.3,,7.0,1.4,,,8.5,1.35,7.5,1.4,2.0,6.3,4.33,1.6,1.5,2.1,3.9,3.75,4.0,1.5,Istanbulspor,Galatasaray,Istanbulspor_Galatasaray_2004
209,3.3,2.0,3.4,2.1,3.0,3.2,3.1,3.4,1.91,3.1,3.25,1.9,2.0,2.8,2.25,3.1,1.55,2.1,3.25,1.6,-0.5,2.1,3.2,3.25,3.1,2.1,Konyaspor,Malatyaspor,Konyaspor_Malatyaspor_2004
210,6.25,1.15,13.0,1.18,11.0,6.0,13.0,10.0,1.17,12.0,6.0,1.16,1.12,13.0,1.15,12.0,,1.16,5.5,1.5,,2.3,6.0,5.5,5.5,,Trabzonspor,Sakaryaspor,Trabzonspor_Sakaryaspor_2004
211,3.4,3.6,1.83,3.75,1.83,3.45,1.8,1.8,3.75,1.8,3.3,3.75,3.6,1.75,3.95,1.85,1.8,3.7,3.3,1.71,0.5,1.95,3.1,3.25,3.35,1.76,Ankaraspor,Besiktas,Ankaraspor_Besiktas_2004
212,3.3,2.0,3.0,2.1,3.0,3.2,2.9,2.75,2.1,2.9,3.25,2.2,2.1,3.0,2.15,3.1,1.52,2.15,3.25,1.65,-0.5,2.0,3.2,3.2,3.2,2.15,Diyarbakirspor,Gaziantepspor,Diyarbakirspor_Gaziantepspor_2004
213,6.0,1.2,10.0,1.22,10.0,4.8,10.0,9.0,1.25,10.0,5.0,1.22,1.16,9.5,1.25,10.0,3.46,1.2,5.0,1.5,-0.5,2.3,5.0,4.5,5.3,1.2,Fenerbahce,Genclerbirligi,Fenerbahce_Genclerbirligi_2004
214,4.5,1.35,7.5,1.4,6.5,4.5,7.5,6.5,1.36,7.5,4.2,1.36,1.3,8.25,1.3,6.0,1.63,1.3,4.0,1.6,-1.5,2.1,4.4,4.0,4.5,1.8,Rizespor,A. Sebatspor,Rizespor_A. Sebatspor_2004
215,3.6,1.6,5.0,1.62,5.0,3.5,5.0,4.5,1.62,4.7,3.5,1.61,1.55,4.9,1.6,4.4,2.01,1.6,3.4,1.6,-0.5,2.1,3.5,3.4,3.5,1.6,Samsunspor,Kayserispor,Samsunspor_Kayserispor_2004
216,3.4,4.4,1.62,4.33,1.7,3.5,1.66,1.72,4.5,1.67,3.4,4.0,4.33,1.65,4.5,1.65,1.67,4.65,3.4,1.65,0.5,2.0,3.3,3.6,3.35,1.95,Denizlispor,Fenerbahce,Denizlispor_Fenerbahce_2004
217,3.3,2.0,3.2,2.05,3.2,3.35,3.3,3.0,2.0,3.0,3.2,2.1,1.9,3.25,1.95,3.1,1.55,2.15,3.2,1.71,-0.5,1.95,3.2,3.2,3.2,2.15,Besiktas,Trabzonspor,Besiktas_Trabzonspor_2004
218,3.4,1.75,4.33,1.75,4.0,3.45,3.6,4.0,1.67,4.25,3.4,1.72,1.8,3.95,1.75,3.8,1.86,1.75,3.4,1.6,-0.5,2.1,3.3,3.5,3.3,1.75,Gaziantepspor,Ankaragucu,Gaziantepspor_Ankaragucu_2004
219,3.3,1.9,3.6,1.75,4.33,3.3,3.35,3.5,1.83,4.0,3.2,1.9,1.9,3.75,1.85,3.5,1.82,1.75,3.25,1.71,-0.5,1.95,3.1,3.4,3.33,1.75,Kayserispor,Istanbulspor,Kayserispor_Istanbulspor_2004
220,3.3,2.0,3.2,2.1,3.1,3.2,3.1,3.2,2.0,3.35,3.2,2.0,2.0,3.0,2.15,3.2,1.61,2.05,3.2,1.65,-0.5,2.0,3.1,3.2,3.1,2.05,Malatyaspor,Rizespor,Malatyaspor_Rizespor_2004
221,3.3,2.4,2.25,2.7,2.38,3.25,2.25,2.25,2.75,2.3,3.2,2.75,2.65,2.35,2.65,2.4,2.3,2.75,3.1,1.65,0.5,2.0,3.2,3.25,3.2,1.48,A. Sebatspor,Samsunspor,A. Sebatspor_Samsunspor_2004
222,6.0,1.2,10.0,1.2,10.0,5.5,10.0,11.0,1.2,10.5,5.0,1.2,1.16,10.5,1.2,10.0,,1.2,5.5,1.5,,2.3,5.0,5.5,5.5,,Galatasaray,Ankaraspor,Galatasaray_Ankaraspor_2004
223,3.3,1.9,3.2,2.1,3.1,3.3,3.25,3.5,2.0,3.1,3.2,1.9,1.95,3.25,2.0,3.5,1.57,2.1,3.2,1.6,-0.5,2.1,3.1,3.2,3.2,2.1,Genclerbirligi,Konyaspor,Genclerbirligi_Konyaspor_2004
224,3.4,2.0,4.0,1.7,4.2,,4.0,4.0,1.73,3.1,3.4,1.72,1.72,,,3.1,,2.05,3.4,,,,3.1,3.4,3.1,,Sakaryaspor,Diyarbakirspor,Sakaryaspor_Diyarbakirspor_2004
225,3.4,1.75,4.0,1.8,3.75,3.45,3.9,3.6,1.8,3.75,3.4,1.8,1.75,3.95,1.75,3.8,1.76,1.8,3.4,1.65,-0.5,2.0,3.3,3.25,3.3,1.8,Ankaragucu,Sakaryaspor,Ankaragucu_Sakaryaspor_2004
