,WHD,IWH,LBA,SBH,SBA,BWD,WHA,B365A,LBH,GBA,B365D,B365H,WHH,BWA,BWH,IWA,GBAHA,GBH,SBD,GB>2.5,GBAH,GB<2.5,IWD,LBD,GBD,GBAHH,HomeTeam,AwayTeam,idGame
226,6.0,1.2,13.0,1.18,12.0,5.5,10.0,11.0,1.17,10.0,5.0,1.2,1.16,12.0,1.18,10.0,,1.18,5.5,1.5,,2.3,5.0,5.5,5.65,,Fenerbahce,Gaziantepspor,Fenerbahce_Gaziantepspor_2004
227,3.5,1.75,4.33,1.7,4.33,3.45,4.0,4.0,1.73,4.25,3.4,1.72,1.7,4.25,1.7,3.7,1.9,1.67,3.4,1.65,-0.5,2.0,3.4,3.25,3.45,1.67,Istanbulspor,A. Sebatspor,Istanbulspor_A. Sebatspor_2004
228,3.25,1.9,3.5,1.95,3.3,3.3,3.15,3.4,1.91,3.35,3.25,1.9,2.0,3.0,2.1,3.4,1.64,1.95,3.3,1.6,-0.5,2.1,3.2,3.25,3.2,1.95,Rizespor,Genclerbirligi,Rizespor_Genclerbirligi_2004
229,3.4,3.8,1.73,4.5,1.7,3.3,1.6,1.72,4.33,1.62,3.4,4.0,4.8,1.7,4.5,1.8,1.62,4.7,3.3,1.71,0.5,1.95,3.1,3.25,3.4,1.97,Diyarbakirspor,Besiktas,Diyarbakirspor_Besiktas_2004
230,3.75,5.4,1.44,9.0,1.33,3.85,1.36,1.44,6.0,1.36,3.75,6.0,8.0,1.45,6.05,1.45,,7.0,4.0,,,,3.8,4.0,3.9,,Kayserispor,Galatasaray,Kayserispor_Galatasaray_2004
231,3.3,2.0,3.25,2.0,3.25,3.35,3.25,3.2,2.0,3.2,3.2,2.0,1.95,3.45,1.9,3.2,1.6,2.0,3.25,1.65,-0.5,2.0,3.1,3.25,3.2,2.0,Konyaspor,Denizlispor,Konyaspor_Denizlispor_2004
232,3.4,2.0,3.25,2.1,3.0,3.3,3.0,3.2,2.0,3.1,3.25,2.0,2.0,3.0,2.1,3.2,1.57,2.05,3.3,1.6,-0.5,2.1,3.1,3.25,3.2,2.05,Samsunspor,Malatyaspor,Samsunspor_Malatyaspor_2004
233,5.5,1.25,10.0,1.3,8.0,4.8,9.0,10.0,1.25,8.0,4.5,1.25,1.2,9.5,1.25,9.0,,1.25,4.5,1.45,,2.45,4.5,4.5,5.0,,Trabzonspor,Ankaraspor,Trabzonspor_Ankaraspor_2004
234,5.5,1.25,11.0,1.25,10.0,5.5,12.0,9.5,1.17,9.25,5.5,1.2,1.16,10.5,1.2,9.0,3.25,1.2,5.0,1.6,-0.5,2.1,4.5,6.0,5.0,1.2,Besiktas,Ankaragucu,Besiktas_Ankaragucu_2004
235,3.4,2.4,2.4,2.75,2.25,3.25,2.4,2.37,2.5,2.35,3.1,2.62,2.4,2.4,2.65,2.4,2.35,2.5,3.4,1.6,0.5,2.1,3.2,3.25,3.2,1.4,A. Sebatspor,Kayserispor,A. Sebatspor_Kayserispor_2004
236,3.4,1.85,4.0,1.8,4.2,3.35,3.6,4.0,1.73,3.65,3.4,1.72,1.8,3.65,1.85,3.4,1.71,1.8,3.25,1.6,-0.5,2.1,3.3,3.4,3.2,1.8,Ankaraspor,Diyarbakirspor,Ankaraspor_Diyarbakirspor_2004
237,3.4,1.8,4.33,1.65,5.0,3.5,4.2,4.33,1.67,4.0,3.4,1.66,1.7,4.9,1.6,3.6,1.81,1.7,3.4,1.83,-0.5,1.83,3.3,3.5,3.3,1.7,Malatyaspor,Istanbulspor,Malatyaspor_Istanbulspor_2004
238,3.75,6.0,1.36,5.5,1.5,3.9,1.4,1.44,6.5,1.37,3.75,6.0,7.0,1.4,7.0,1.4,1.37,6.25,4.0,1.55,0.5,2.2,3.9,4.33,4.0,2.44,Sakaryaspor,Fenerbahce,Sakaryaspor_Fenerbahce_2004
239,3.4,1.85,3.5,1.83,4.0,3.35,3.5,3.75,1.91,3.5,3.2,1.83,1.85,3.45,1.9,3.5,1.69,1.83,3.25,1.85,-0.5,1.79,3.2,3.25,3.25,1.83,Denizlispor,Rizespor,Denizlispor_Rizespor_2004
240,3.4,1.75,5.0,1.62,5.0,3.3,4.33,4.33,1.62,4.25,3.4,1.66,1.66,4.5,1.7,4.0,1.86,1.67,3.5,1.71,-0.5,1.95,3.2,3.4,3.3,1.67,Galatasaray,Trabzonspor,Galatasaray_Trabzonspor_2004
241,3.35,1.9,3.5,2.05,3.25,3.3,3.2,3.2,1.91,3.3,3.2,2.0,1.95,3.25,2.0,3.4,1.62,1.9,3.3,1.65,-0.5,2.0,3.2,3.25,3.2,1.9,Gaziantepspor,Konyaspor,Gaziantepspor_Konyaspor_2004
242,3.5,1.75,4.0,1.73,4.33,3.45,4.0,4.33,1.73,3.8,3.4,1.66,1.7,3.95,1.75,3.7,1.77,1.75,3.4,1.6,-0.5,2.1,3.3,3.4,3.3,1.75,Genclerbirligi,Samsunspor,Genclerbirligi_Samsunspor_2004
243,3.5,4.2,1.57,5.0,1.6,3.55,1.61,1.61,5.0,1.55,3.5,4.5,4.5,1.65,4.35,1.7,,5.5,3.6,1.71,,1.95,3.2,3.6,3.5,,Diyarbakirspor,Trabzonspor,Diyarbakirspor_Trabzonspor_2004
244,4.5,10.0,1.2,9.0,1.33,4.75,1.28,1.25,11.0,1.25,5.0,8.0,8.0,1.3,7.5,1.2,,9.0,4.33,1.6,,2.1,5.0,5.0,4.75,,A. Sebatspor,Galatasaray,A. Sebatspor_Galatasaray_2004
245,3.4,1.9,3.25,1.91,3.4,3.45,3.25,3.2,2.0,3.5,3.2,2.0,1.9,3.25,1.95,3.2,,1.87,3.4,,,,3.4,3.25,3.25,,Kayserispor,Malatyaspor,Kayserispor_Malatyaspor_2004
246,3.5,,3.6,1.73,4.5,3.35,4.0,3.6,1.83,4.0,3.4,1.8,1.7,4.45,1.7,,1.84,1.72,3.3,1.6,-0.5,2.1,,3.3,3.4,1.72,Konyaspor,Sakaryaspor,Konyaspor_Sakaryaspor_2004
247,3.25,2.0,2.8,2.3,2.8,3.2,2.7,2.8,2.2,2.85,3.2,2.2,2.25,2.8,2.25,3.0,,2.15,3.25,1.71,,1.95,3.3,3.25,3.2,,Samsunspor,Denizlispor,Samsunspor_Denizlispor_2004
248,3.1,1.9,2.75,2.25,2.75,3.2,2.65,3.0,2.25,2.7,3.25,2.1,2.35,3.0,2.15,3.5,1.46,2.25,3.4,1.65,-0.5,2.0,3.1,3.25,3.2,2.25,Ankaragucu,Ankaraspor,Ankaragucu_Ankaraspor_2004
249,3.4,1.7,4.33,1.67,5.0,3.3,4.33,4.0,1.67,4.3,3.4,1.72,1.66,4.5,1.7,4.2,1.87,1.7,3.3,1.71,-0.5,1.95,3.2,3.4,3.3,1.7,Fenerbahce,Besiktas,Fenerbahce_Besiktas_2004
250,3.25,2.1,2.8,2.25,2.75,3.25,2.5,2.75,2.2,2.65,3.25,2.25,2.4,2.65,2.35,2.9,1.45,2.3,3.4,1.75,-0.5,1.9,3.2,3.25,3.2,2.3,Istanbulspor,Genclerbirligi,Istanbulspor_Genclerbirligi_2004
251,3.3,1.9,3.25,2.05,3.3,3.35,3.4,3.5,2.0,3.25,3.25,1.9,1.9,3.45,1.9,3.4,1.15,1.95,3.2,1.71,-1.5,1.95,3.2,3.25,3.25,3.33,Rizespor,Gaziantepspor,Rizespor_Gaziantepspor_2004
252,5.0,1.3,7.0,1.35,7.5,4.5,8.0,8.0,1.33,7.0,4.5,1.28,1.25,8.25,1.3,8.0,,1.33,4.5,1.6,,2.1,4.2,4.5,4.35,,Besiktas,Konyaspor,Besiktas_Konyaspor_2004
253,3.4,1.75,4.33,1.7,4.2,3.4,3.9,4.0,1.73,3.9,3.4,1.72,1.75,3.6,1.85,3.8,1.79,1.77,3.6,1.71,-0.5,1.95,3.3,3.25,3.3,1.77,Gaziantepspor,Samsunspor,Gaziantepspor_Samsunspor_2004
254,3.5,1.9,3.4,1.85,3.5,3.3,3.5,4.0,1.91,3.6,3.4,1.72,1.8,4.5,1.7,3.2,1.71,1.85,3.6,1.65,-0.5,2.0,3.4,3.25,3.25,1.85,Genclerbirligi,Kayserispor,Genclerbirligi_Kayserispor_2004
255,4.5,1.45,8.0,1.4,7.5,3.9,7.5,7.0,1.3,6.5,4.0,1.36,1.3,7.0,1.4,4.8,2.44,1.4,4.0,1.55,-0.5,2.2,4.2,4.5,3.9,1.4,Malatyaspor,A. Sebatspor,Malatyaspor_A. Sebatspor_2004
256,3.5,5.4,1.53,5.0,1.57,3.6,1.57,1.57,5.5,1.6,3.5,5.0,5.0,1.55,5.5,1.45,1.6,4.75,3.75,1.6,0.5,2.1,3.8,3.5,3.5,2.02,Ankaraspor,Fenerbahce,Ankaraspor_Fenerbahce_2004
257,3.8,1.7,5.5,1.65,4.6,3.5,4.25,5.0,1.53,4.75,3.5,1.57,1.6,4.9,1.6,3.7,2.0,1.6,3.6,1.65,-0.5,2.0,3.5,3.5,3.45,1.6,Denizlispor,Istanbulspor,Denizlispor_Istanbulspor_2004
258,6.5,1.22,13.0,1.12,13.0,5.5,10.0,10.0,1.17,12.0,6.0,1.16,1.14,10.5,1.2,9.5,,1.15,7.5,1.5,,2.3,4.8,5.5,5.75,,Galatasaray,Diyarbakirspor,Galatasaray_Diyarbakirspor_2004
259,3.5,1.7,4.0,1.75,4.0,3.5,4.0,4.0,1.8,4.0,3.4,1.72,1.7,3.95,1.75,3.8,,1.75,3.6,1.71,,1.95,3.4,3.25,3.3,,Sakaryaspor,Rizespor,Sakaryaspor_Rizespor_2004
260,5.3,1.17,10.0,1.25,10.0,4.8,10.0,8.0,1.2,9.5,5.0,1.25,1.2,9.5,1.25,11.0,,1.22,5.0,1.5,,2.3,5.5,5.5,5.0,,Trabzonspor,Ankaragucu,Trabzonspor_Ankaragucu_2004
261,3.5,1.8,3.2,2.0,3.4,3.35,2.95,3.0,2.0,2.9,3.2,2.1,2.0,3.35,1.95,3.5,,2.1,3.3,,,,3.4,3.25,3.2,,Istanbulspor,Gaziantepspor,Istanbulspor_Gaziantepspor_2004
262,3.4,3.7,1.67,5.0,1.62,3.3,1.8,1.66,4.5,1.75,3.4,4.33,3.6,1.7,4.5,1.8,1.75,4.0,3.5,1.65,0.5,2.0,3.2,3.4,3.25,1.79,Rizespor,Besiktas,Rizespor_Besiktas_2004
263,3.4,1.85,3.6,1.7,4.5,3.3,3.6,4.0,1.83,4.0,3.2,1.8,1.8,4.5,1.7,3.6,,1.75,3.4,1.65,,2.0,3.1,3.4,3.25,,Ankaragucu,Diyarbakirspor,Ankaragucu_Diyarbakirspor_2004
264,3.4,1.75,4.5,1.73,4.2,3.3,4.2,4.33,1.67,4.25,3.4,1.66,1.7,4.5,1.7,4.0,1.86,1.7,3.5,1.83,-0.5,1.83,3.2,3.4,3.3,1.7,Fenerbahce,Trabzonspor,Fenerbahce_Trabzonspor_2004
265,3.5,,3.2,1.73,4.2,3.35,3.5,4.33,2.0,4.0,3.4,1.66,1.8,3.45,1.9,,1.79,1.75,3.5,1.75,-0.5,1.9,,3.25,3.25,1.75,Kayserispor,Denizlispor,Kayserispor_Denizlispor_2004
266,3.4,2.1,3.2,2.2,3.0,3.35,2.8,3.1,2.0,2.9,3.3,2.0,2.1,3.45,1.9,2.7,1.52,2.1,3.2,1.71,-0.5,1.95,3.4,3.25,3.2,2.1,Samsunspor,Sakaryaspor,Samsunspor_Sakaryaspor_2004
267,3.45,,2.2,2.6,2.4,3.25,2.05,1.8,2.8,2.15,3.3,3.75,2.9,2.3,2.7,,,2.8,3.3,,,,,3.25,3.2,,A. Sebatspor,Genclerbirligi,A. Sebatspor_Genclerbirligi_2004
268,3.3,1.9,3.5,1.91,3.6,3.35,3.4,3.75,1.91,3.35,3.25,1.83,1.9,3.45,1.9,3.4,1.65,1.91,3.3,1.65,-0.5,2.0,3.2,3.2,3.25,1.91,Konyaspor,Ankaraspor,Konyaspor_Ankaraspor_2004
269,3.6,5.4,1.5,6.0,1.5,3.6,1.5,1.5,5.5,1.5,3.4,6.0,5.5,1.5,6.0,1.45,,5.5,3.75,1.65,,2.0,3.8,3.75,3.6,,Malatyaspor,Galatasaray,Malatyaspor_Galatasaray_2004
270,3.4,1.9,3.6,1.73,4.5,3.45,3.45,4.33,1.83,3.6,3.4,1.66,1.85,3.75,1.8,3.4,1.69,1.85,3.3,1.65,-0.5,2.0,3.2,3.4,3.2,1.85,Ankaraspor,Rizespor,Ankaraspor_Rizespor_2004
271,3.75,6.0,1.44,7.0,1.44,3.9,1.44,1.44,6.0,1.4,3.75,6.0,6.0,1.4,7.0,1.4,2.03,6.5,3.75,1.71,1.5,1.95,3.9,4.0,3.8,1.48,Diyarbakirspor,Fenerbahce,Diyarbakirspor_Fenerbahce_2004
272,6.5,1.15,13.0,1.13,15.0,7.5,12.0,12.0,1.14,13.0,6.5,1.12,1.12,14.0,1.1,12.0,4.33,1.11,6.5,1.45,-0.5,2.45,6.0,6.0,6.5,1.11,Galatasaray,Ankaragucu,Galatasaray_Ankaragucu_2004
273,3.6,1.9,3.6,2.0,3.25,3.4,2.7,3.2,1.83,3.05,3.5,1.9,2.1,3.6,1.85,3.2,1.59,2.0,3.4,1.79,-0.5,1.85,3.4,3.4,3.3,2.0,Gaziantepspor,Kayserispor,Gaziantepspor_Kayserispor_2004
274,4.0,1.55,5.0,1.44,6.5,,4.8,6.5,1.62,5.25,3.6,1.44,1.5,,,4.6,2.15,1.5,3.75,1.6,-0.5,2.1,3.6,3.4,3.65,1.5,Sakaryaspor,Istanbulspor,Sakaryaspor_Istanbulspor_2004
275,5.3,1.25,10.0,1.29,11.0,4.8,11.0,9.0,1.25,8.5,5.5,1.2,1.18,9.5,1.25,9.0,3.03,1.25,4.33,1.55,-0.5,2.2,4.5,4.5,4.7,1.25,Trabzonspor,Konyaspor,Trabzonspor_Konyaspor_2004
276,5.5,1.33,10.0,1.25,10.0,4.8,8.0,9.0,1.25,7.0,5.5,1.2,1.22,9.5,1.25,7.5,2.74,1.3,5.0,1.6,-0.5,2.1,4.0,4.5,4.5,1.3,Besiktas,Samsunspor,Besiktas_Samsunspor_2004
277,,,13.0,1.22,12.0,,,12.0,1.14,9.0,6.0,1.14,,,,,3.21,1.22,5.0,1.5,-0.5,2.3,,6.0,5.0,1.22,Denizlispor,A. Sebatspor,Denizlispor_A. Sebatspor_2004
278,3.4,1.75,3.75,1.73,4.5,3.4,3.6,4.33,1.83,3.75,3.4,1.66,1.8,3.6,1.85,4.0,1.74,1.8,3.3,1.71,-0.5,1.95,3.2,3.25,3.25,1.8,Genclerbirligi,Malatyaspor,Genclerbirligi_Malatyaspor_2004
279,3.45,,1.8,3.4,2.0,,1.9,1.83,3.5,1.9,3.4,3.5,3.25,,,,,3.3,3.25,2.2,,1.55,,3.4,3.25,,A. Sebatspor,Gaziantepspor,A. Sebatspor_Gaziantepspor_2004
280,3.3,2.1,3.0,2.0,3.4,3.35,2.8,3.0,2.1,2.9,3.2,2.1,2.15,3.2,2.0,2.9,,2.1,3.25,1.83,,1.83,3.2,3.25,3.2,,Malatyaspor,Denizlispor,Malatyaspor_Denizlispor_2004
281,3.4,1.9,3.0,2.25,2.8,3.2,2.9,3.0,2.1,2.9,3.2,2.1,2.05,3.0,2.15,3.5,,2.1,3.3,2.1,,1.6,3.1,3.25,3.2,,Samsunspor,Ankaraspor,Samsunspor_Ankaraspor_2004
282,3.75,6.0,1.44,7.0,1.44,4.5,1.4,1.4,6.5,1.4,4.0,6.5,7.0,1.3,8.25,1.4,1.4,7.0,3.75,2.2,0.5,1.55,3.9,3.75,3.6,2.38,Ankaragucu,Fenerbahce,Ankaragucu_Fenerbahce_2004
283,6.0,1.3,9.0,1.3,7.5,4.8,10.0,9.5,1.25,9.0,5.0,1.22,1.16,9.5,1.25,8.0,1.71,1.25,5.0,2.2,-1.5,1.55,4.2,5.0,4.6,1.71,Galatasaray,Genclerbirligi,Galatasaray_Genclerbirligi_2004
284,3.75,3.9,1.5,7.5,1.4,3.9,1.6,1.5,5.5,1.5,3.6,5.5,4.33,1.4,7.0,1.65,,5.5,4.0,2.1,,1.6,3.6,3.75,3.5,,Istanbulspor,Besiktas,Istanbulspor_Besiktas_2004
285,3.3,1.8,4.33,1.85,3.75,3.35,3.6,3.75,1.67,3.6,3.3,1.8,1.85,3.85,1.8,3.8,1.71,1.85,3.4,1.95,-0.5,1.71,3.1,3.4,3.25,1.85,Kayserispor,Sakaryaspor,Kayserispor_Sakaryaspor_2004
286,3.5,,3.0,2.0,3.4,3.3,2.65,2.62,2.0,2.9,3.4,2.2,2.15,3.0,2.1,,,2.1,3.25,2.1,,1.6,,3.4,3.2,,Konyaspor,Diyarbakirspor,Konyaspor_Diyarbakirspor_2004
287,3.75,5.0,1.62,5.5,1.57,3.6,1.55,1.53,4.5,1.55,3.75,5.0,4.8,1.5,6.0,1.5,,5.0,3.5,1.95,,1.71,3.7,3.6,3.5,,Rizespor,Trabzonspor,Rizespor_Trabzonspor_2004
288,3.3,1.75,4.5,1.62,5.0,3.35,4.5,4.0,1.62,4.5,3.4,1.72,1.66,3.65,1.85,4.2,1.92,1.65,3.5,1.61,-0.5,2.0,3.1,3.4,3.35,1.65,Ankaragucu,Konyaspor,Ankaragucu_Konyaspor_2004
289,,,3.25,2.0,3.2,,,2.62,1.83,2.85,3.5,2.2,,,,,1.53,2.1,3.5,,-0.5,,,3.6,3.3,2.1,Ankaraspor,Istanbulspor,Ankaraspor_Istanbulspor_2004
290,4.5,1.45,5.0,1.44,6.5,4.55,7.5,7.0,1.4,7.25,3.75,1.4,1.3,8.0,1.3,5.4,,1.3,4.0,1.56,,2.1,3.8,4.5,4.5,,Besiktas,Kayserispor,Besiktas_Kayserispor_2004
291,3.4,,4.5,,,3.6,4.8,5.5,1.62,4.8,3.4,1.53,1.6,5.9,1.5,,,1.55,,,,,,3.5,3.6,,Diyarbakirspor,Rizespor,Diyarbakirspor_Rizespor_2004
292,3.4,1.85,3.6,2.0,3.4,3.4,3.6,3.2,1.8,3.6,3.2,2.0,1.8,3.6,1.85,3.5,1.75,1.8,3.3,1.66,-0.5,1.95,3.2,3.4,3.4,1.8,Gaziantepspor,Malatyaspor,Gaziantepspor_Malatyaspor_2004
293,,1.27,7.0,1.2,12.0,,,11.0,1.3,9.0,5.0,1.2,,,,7.0,,1.2,5.5,1.61,,2.0,4.5,4.5,5.5,,Sakaryaspor,A. Sebatspor,Sakaryaspor_A. Sebatspor_2004
294,3.25,2.1,2.75,2.1,3.1,3.2,2.9,2.75,2.2,2.9,3.25,2.2,2.1,2.8,2.25,2.9,1.53,2.1,3.3,1.56,-0.5,2.1,3.2,3.25,3.25,2.1,Denizlispor,Genclerbirligi,Denizlispor_Genclerbirligi_2004
295,3.2,2.2,2.8,2.2,3.0,3.25,3.05,2.75,2.25,3.0,3.25,2.2,2.05,2.95,2.15,2.8,1.56,2.05,3.2,1.66,-0.5,1.95,3.1,3.2,3.25,2.05,Fenerbahce,Galatasaray,Fenerbahce_Galatasaray_2004
296,5.0,1.25,10.0,1.2,12.0,4.8,10.5,11.0,1.2,10.0,5.0,1.2,1.2,9.5,1.25,9.0,,1.2,5.5,1.46,,2.3,4.5,5.5,5.0,,Trabzonspor,Samsunspor,Trabzonspor_Samsunspor_2004
297,4.5,5.0,1.53,7.0,1.5,3.9,1.35,1.36,5.0,1.5,4.2,6.5,6.0,1.4,7.0,1.5,,5.5,3.4,1.56,,2.1,3.5,3.75,3.45,,A. Sebatspor,Besiktas,A. Sebatspor_Besiktas_2004
298,5.5,,10.0,1.22,8.5,4.8,9.0,9.0,1.2,9.0,5.5,1.19,1.2,9.5,1.25,,,1.22,6.0,1.56,,2.1,,5.0,5.0,,Galatasaray,Denizlispor,Galatasaray_Denizlispor_2004
299,3.4,1.75,4.5,1.8,4.0,3.3,3.6,5.0,1.57,4.0,3.5,1.57,1.8,4.5,1.7,3.5,1.84,1.7,3.4,1.56,-0.5,2.1,3.4,3.6,3.4,1.7,Genclerbirligi,Gaziantepspor,Genclerbirligi_Gaziantepspor_2004
300,6.0,7.0,1.2,9.0,1.29,5.5,1.16,,10.0,1.22,,,10.0,1.2,10.5,1.27,,9.0,4.75,1.56,,2.1,4.8,5.0,5.0,,Istanbulspor,Trabzonspor,Istanbulspor_Trabzonspor_2004
301,3.4,,4.0,1.85,4.33,3.15,4.5,4.5,1.91,5.0,2.87,1.8,1.65,4.5,1.75,,,1.55,3.0,1.61,,2.0,,2.88,3.5,,Kayserispor,Ankaraspor,Kayserispor_Ankaraspor_2004
302,3.4,3.4,1.91,3.5,1.85,3.35,1.95,,3.4,1.9,,,3.1,1.9,3.45,1.9,1.9,3.3,3.6,1.61,-0.5,2.0,3.2,3.25,3.25,1.64,Konyaspor,Fenerbahce,Konyaspor_Fenerbahce_2004
303,,,2.0,2.88,2.1,,,2.0,2.8,2.1,3.39,3.0,,,,,,2.6,3.6,,,,,3.6,3.7,,Malatyaspor,Sakaryaspor,Malatyaspor_Sakaryaspor_2004
304,3.5,,3.4,1.83,4.0,3.3,3.5,3.0,1.91,4.0,2.87,2.25,1.8,4.5,1.7,,1.84,1.7,3.25,,-0.5,,,3.25,3.4,1.7,Rizespor,Ankaragucu,Rizespor_Ankaragucu_2004
305,,,2.2,3.0,2.0,,,2.0,2.6,2.1,3.75,2.79,,,,,2.1,2.6,3.75,,-0.5,,,3.5,3.7,1.53,Samsunspor,Diyarbakirspor,Samsunspor_Diyarbakirspor_2004
